id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,rendimiento_futuro_predicho
114,5,1,9,10,7,0,10,9,1,4.6,4.722736889499389
115,10,5,9,13,11,9,1,10,13,9.8,9.640133333333335
116,6,1,4,2,0,9,4,5,14,4.7,4.887226785714287
117,4,3,7,9,0,18,13,21,17,5.6,5.685171031746034
118,7,3,10,2,14,8,8,7,11,6.4,6.294830555555556
119,7,3,7,15,3,16,3,5,18,8.6,8.504588095238093
120,3,2,3,6,1,7,13,24,5,4.3,4.362510281385282
121,2,2,10,16,4,6,4,9,9,4.3,4.400635317460316
122,6,7,5,8,6,0,10,24,4,7.7,7.4318896103896135
123,5,3,5,7,2,17,5,4,16,6.2,6.250144751082257
124,7,4,10,8,4,9,5,10,5,7.5,7.735480952380951
125,7,6,7,5,12,4,0,27,4,8.2,7.390658730158725
126,4,4,10,13,8,5,9,13,2,5.5,5.533564484126986
127,6,2,7,1,8,5,3,5,15,4.8,4.859260515873015
128,7,5,6,7,4,11,8,23,6,8.3,8.492548214285714
129,9,4,11,5,7,10,15,17,19,8.8,8.644637896825397
130,7,1,5,16,6,3,4,29,0,6.8,6.669585533910528
131,3,3,8,9,9,13,6,14,6,5.0,4.950128571428572
132,10,6,5,13,7,27,9,28,0,10.0,9.77010615079365
133,7,1,6,2,2,14,8,11,18,5.6,5.982362301587302
134,7,2,6,14,8,10,7,0,1,7.9,7.759308874458875
135,3,6,12,19,8,2,2,12,4,5.7,5.71343988095238
136,6,5,8,0,8,16,7,18,11,6.1,6.463417316017317
137,7,5,14,15,8,1,11,7,3,8.0,8.018354761904758
138,7,1,10,5,9,4,9,2,1,5.4,5.514867460317463
139,8,4,11,12,1,10,11,1,10,8.6,8.591103715728718
140,5,4,1,9,6,22,11,6,5,8.1,7.877816865079369
141,6,6,7,13,3,0,0,10,9,7.5,7.424294805194811
142,8,6,7,12,4,11,15,17,17,9.5,9.369715537240534
143,6,6,8,11,7,6,10,25,1,8.1,7.805469246031751
144,8,2,8,12,8,13,0,27,3,8.6,8.475362085137084
145,5,8,9,10,0,20,8,13,11,8.9,8.107182557720055
146,7,2,8,7,6,15,15,28,9,7.3,7.4394371031746
147,8,1,5,6,0,18,13,15,15,7.6,7.8354378968253995
148,5,2,9,5,3,14,12,2,2,5.1,5.297630158730158
149,7,7,4,7,0,8,15,12,8,8.7,8.639690223665223
150,7,6,9,8,4,3,2,20,1,7.9,7.728748575036072
151,8,2,7,13,6,0,9,15,13,7.4,7.3351068903318835
152,4,2,9,5,4,0,14,19,12,4.3,4.433680609668108
153,4,4,6,16,5,0,12,4,11,5.4,5.4765466269841285
154,5,2,10,15,9,0,12,22,14,5.2,5.088168833943836
155,7,3,8,16,11,7,10,14,6,8.3,8.223175793650794
156,2,5,9,11,2,14,14,25,20,5.0,5.326515187590188
157,1,7,7,4,0,13,12,1,2,4.5,4.8843566558441545
158,6,6,8,15,4,14,8,18,18,8.9,8.692277940115437
159,7,5,8,2,6,18,11,13,19,8.1,7.828577417027419
160,5,3,9,0,11,11,2,14,7,4.6,4.71266369047619
161,8,5,8,6,4,5,6,6,12,8.2,8.156605753968252
162,7,4,1,20,5,14,4,21,2,9.4,9.031278427128433
163,5,6,8,3,10,10,8,24,19,6.6,6.575595652958154
164,8,3,15,21,4,4,15,6,4,8.3,8.069736904761905
165,8,1,4,5,3,21,6,13,20,8.0,7.803405573593075
166,10,5,8,2,5,12,11,13,15,9.3,8.93244543650794
167,8,2,6,9,2,24,9,9,0,9.0,9.005627362914863
168,5,3,9,7,6,8,4,19,4,5.4,5.329165494227993
169,5,5,10,6,9,3,5,4,20,5.7,5.626447619047623
170,10,1,5,0,0,2,6,1,0,5.7,6.040709794372294
171,7,4,8,4,0,0,10,14,19,5.8,5.976196536796535
172,7,6,7,0,0,15,15,7,4,6.9,7.178446843434349
173,7,5,1,11,5,24,9,1,6,9.6,9.376582592407589
174,6,4,3,6,2,9,9,5,5,6.7,6.883955158730157
175,9,3,7,0,5,13,6,4,3,7.2,7.751596825396828
176,6,4,9,0,8,0,10,23,9,4.6,4.846015476190474
177,6,4,9,7,4,14,13,11,6,7.2,7.178287148268405
178,6,4,12,9,7,4,12,29,17,6.3,6.547608348595847
179,6,1,9,8,13,13,5,10,7,6.3,6.07282003968254
180,2,3,11,6,7,15,0,3,6,4.4,4.841215674603178
181,5,5,8,0,3,0,6,2,18,4.4,4.656558080808077
182,4,2,6,10,2,5,14,15,14,4.6,4.624115476190477
183,5,3,9,9,2,11,15,21,7,5.7,5.570439583333333
184,2,4,7,9,8,9,12,5,20,4.6,4.735156150793651
185,5,5,8,0,5,25,0,9,3,6.0,6.2031499639249645
186,4,3,9,3,0,10,15,26,17,4.5,4.556340259740257
187,6,4,13,6,12,16,2,30,1,7.5,7.4536986471861475
188,8,1,13,13,10,19,0,24,19,8.7,8.458557936507932
189,10,5,5,14,7,14,8,15,18,9.9,9.749085515873016
190,3,3,3,5,8,9,13,1,3,4.6,4.628667063492065
191,7,6,5,14,6,5,15,3,12,9.0,8.694305753968253
192,5,1,7,0,2,15,13,15,4,4.3,4.606029201354201
193,6,3,5,10,0,18,5,28,3,7.5,7.454704899267398
194,7,6,10,9,2,26,13,23,2,9.5,9.034134920634909
195,6,1,10,6,2,0,9,18,3,4.6,4.942564285714291
196,6,2,6,11,4,10,15,22,16,6.4,6.369319658119658
197,6,1,10,10,0,11,0,14,7,5.5,5.60181964285714
198,5,4,8,9,2,14,11,19,18,6.5,6.6116135191197705
199,5,5,10,2,11,9,8,12,19,5.7,5.793895039682538
200,8,4,7,12,13,0,9,5,5,8.6,8.5114373015873
201,4,2,8,3,0,25,11,30,5,5.0,4.971542857142857
202,5,1,1,6,0,4,12,14,20,4.6,4.632850000000002
203,8,1,2,5,6,12,15,6,8,7.4,7.394356944444442
204,6,4,4,21,1,6,1,4,17,7.9,7.55587718253969
205,5,3,5,9,0,0,9,23,13,4.9,5.071506547619048
206,7,1,13,5,5,13,4,16,2,5.9,6.148764880952382
207,7,4,9,4,4,3,7,24,8,6.3,6.192964772727269
208,7,5,9,13,5,3,0,5,15,8.1,7.962962698412692
209,7,4,8,7,6,4,5,26,7,7.1,7.3574530844155825
210,4,3,9,6,5,15,10,2,19,5.2,5.18255496031746
211,9,3,9,12,9,17,11,19,8,9.5,9.284273412698406
212,5,3,9,7,5,5,7,23,6,5.1,5.0962816648629135
213,2,2,9,15,10,2,1,29,12,4.3,4.468117658730157
214,6,3,6,12,7,25,6,30,20,8.7,8.33388168498168
215,4,1,8,11,5,6,14,12,0,4.6,4.621617947330448
216,7,3,3,13,3,5,2,19,10,7.6,7.554036904761904
217,9,4,7,21,5,8,12,5,12,9.6,9.353017334054831
218,6,2,10,14,3,6,11,14,12,6.0,6.186218849206357
219,2,7,8,8,1,1,5,7,10,4.6,4.890447330447329
220,9,9,8,0,4,10,0,2,3,9.2,8.659988293650795
221,5,3,4,11,0,16,2,13,19,6.6,6.5731669733044775
222,6,3,10,18,0,15,4,16,7,7.7,7.465738293650796
223,7,4,7,0,10,3,0,20,2,5.4,5.7156500721500745
224,4,2,9,13,11,10,0,9,10,5.4,5.231373809523811
225,4,4,10,0,10,22,14,17,3,4.9,5.413476785714287
226,8,2,9,6,13,13,11,18,13,8.2,8.104639489676996
227,7,2,9,2,6,3,15,27,3,5.2,5.286971825396824
228,4,4,9,4,7,0,15,11,16,4.5,4.701513690476189
229,4,1,5,20,4,4,12,13,4,4.9,4.877319841269843
230,10,4,6,7,1,0,1,19,0,8.8,8.485824404761901
231,6,4,8,4,6,0,3,16,3,5.4,5.572914592352088
232,8,2,9,0,2,22,7,23,9,6.5,7.0636991702741705
233,6,1,4,10,2,7,3,13,15,5.5,5.654255772005774
234,5,7,4,3,7,9,14,16,9,7.1,6.886374007936514
235,7,4,6,1,4,24,10,25,17,8.0,7.51368118686869
236,8,5,6,9,0,10,14,26,8,8.9,8.928598304473295
237,6,2,8,12,7,4,7,13,7,6.0,5.996790509490512
238,6,3,9,11,11,0,0,12,6,6.1,6.021149080086577
239,6,1,11,9,8,10,1,18,13,5.7,5.756817460317458
240,8,2,8,3,6,11,4,24,16,7.0,6.971483820346324
241,9,1,15,5,2,11,1,14,13,7.0,7.280558225108224
242,7,6,6,9,12,0,14,1,0,8.4,8.279456150793646
243,5,4,3,6,8,16,0,22,4,7.0,6.980141973304473
244,9,3,9,8,9,11,0,13,15,9.0,8.901988906926409
245,6,1,9,5,7,8,13,25,0,5.1,5.322452002164505
246,3,3,10,16,5,12,1,12,18,5.2,5.168973809523811
247,5,2,6,11,5,19,0,28,4,6.6,6.599379761904762
248,7,1,10,7,9,1,12,30,3,5.4,5.848885317460318
249,6,6,10,4,4,14,11,25,4,7.6,7.29018401875902
250,5,5,6,7,1,3,1,16,6,5.6,5.6380236111111115
251,5,3,6,9,0,8,13,15,17,5.4,5.430337806637807
252,5,3,15,6,0,14,10,23,19,5.2,5.423163392857139
253,1,4,13,2,0,0,4,11,4,4.0,4.2542165584415566
254,4,2,15,11,0,12,9,11,20,4.7,4.918556547619048
255,6,8,6,13,6,13,12,29,14,9.4,8.905492027417035
256,5,4,4,17,9,8,4,6,19,7.5,7.039909722222222
257,10,1,9,6,1,12,8,17,19,8.4,8.007776623376625
258,7,2,3,10,6,10,9,11,14,7.5,7.3369775793650795
259,7,5,1,11,3,1,9,14,13,8.1,8.158944787157289
260,3,2,5,2,1,19,4,21,6,4.4,4.695416450216452
261,4,4,6,5,2,6,3,24,16,4.8,4.937497817460319
262,3,1,6,3,0,18,8,30,6,4.3,4.602950180375181
263,6,5,11,1,4,1,12,22,9,5.1,5.134308694083692
264,4,4,6,0,6,5,14,24,13,4.3,4.49194805194805
265,6,3,10,8,3,11,4,11,10,6.3,6.385164598595846
266,7,6,5,6,0,9,4,5,14,8.3,8.248424206349208
267,7,3,5,10,12,16,8,28,19,8.7,8.545946230158727
268,7,4,8,6,9,13,5,3,19,8.1,7.913038131313133
269,6,4,12,13,7,21,9,8,7,8.6,8.403737103174603
270,7,3,10,6,0,17,3,10,9,7.3,7.402002915140415
271,5,1,5,9,10,4,8,0,19,5.0,4.944672603785106
272,5,4,4,9,11,8,5,1,16,6.7,6.572088365800867
273,5,1,6,6,7,13,11,6,18,5.1,5.207618650793653
274,4,2,3,8,3,15,13,4,5,5.2,5.451707142857143
275,9,3,7,3,3,12,8,18,4,8.3,8.141535263347762
276,6,1,6,8,6,18,5,15,2,6.5,6.791770634920637
277,4,3,6,14,3,7,1,13,11,5.3,5.20197777777778
278,5,1,8,0,0,24,14,3,6,4.5,4.825126984126985
279,4,3,2,7,11,5,3,26,3,5.1,4.9903158730158745
280,5,4,6,0,9,1,14,4,14,4.4,4.564697763347759
281,4,1,11,12,10,18,0,8,13,5.4,5.72119583333333
282,3,2,11,19,3,13,15,30,18,5.0,5.1018906746031725
283,4,1,10,14,6,8,3,19,15,4.8,4.931772510822511
284,4,2,12,3,8,20,4,11,5,4.9,4.964308928571428
285,8,2,6,12,0,10,12,27,14,8.0,8.01335079365079
286,5,5,10,14,7,14,13,3,7,7.8,7.50677242063492
287,5,4,6,9,9,5,7,2,5,6.1,5.893297186147184
288,7,5,4,10,3,24,11,30,14,9.4,9.312949259074257
289,8,1,10,7,4,11,11,19,0,6.9,7.32759503968254
290,5,6,9,14,0,8,12,28,17,7.3,7.0649817460317506
291,5,2,11,3,4,4,15,26,18,4.4,4.480374404761903
292,7,1,10,8,1,6,2,11,6,5.6,6.009413690476191
293,6,4,10,16,9,4,3,10,3,7.4,7.191296825396824
294,7,3,10,5,3,18,0,16,12,7.5,7.287353330003328
295,6,1,4,3,5,0,14,18,6,4.6,4.7739920634920665
296,6,4,7,4,0,7,12,1,18,5.8,5.926622138278386
297,8,5,11,11,0,12,2,3,2,9.0,8.99586497113996
298,6,7,5,8,6,11,7,13,8,8.7,8.332354725829733
299,10,1,10,4,2,15,7,0,19,8.4,7.962495779220782
300,6,4,7,13,7,13,12,15,11,8.1,8.067407341269842
301,9,4,12,7,12,13,10,4,16,9.3,9.074767875180374
302,6,2,2,13,7,9,5,12,3,7.0,6.6377323593073605
303,7,2,8,11,0,5,9,6,18,6.3,6.552635335497837
304,8,2,3,11,5,23,2,4,10,9.3,9.059255934343433
305,7,1,9,12,4,3,3,19,13,5.9,6.1618404761904735
306,8,2,10,6,0,10,3,5,16,6.9,7.195678860028862
307,7,8,4,6,1,8,1,16,8,9.0,8.460558874458872
308,4,7,7,6,5,21,4,8,9,7.8,7.21893333333333
309,6,3,7,12,1,17,9,14,17,7.6,7.541957875457879
310,6,6,9,7,1,9,5,5,2,7.4,7.374833405483406
311,8,2,5,16,0,11,4,4,5,8.5,8.236009126984122
312,6,5,9,18,7,10,0,18,18,8.6,8.23354186507937
313,6,4,13,9,5,13,9,21,17,7.1,7.196030853174606
314,7,5,7,14,3,15,7,27,12,9.1,9.050192909867905
315,8,4,12,13,2,8,7,28,0,8.5,8.501843001443003
316,8,2,6,6,13,13,15,13,1,8.3,8.109427380952388
317,5,2,13,7,2,1,13,13,20,4.5,4.629692063492062
318,5,6,7,14,2,14,5,15,4,8.2,7.9268505952380925
319,7,2,8,12,5,15,0,14,20,7.9,7.804011255411257
320,8,4,6,8,2,8,9,20,3,8.4,8.31364935064935
321,7,3,5,14,13,7,5,30,14,8.4,8.289651388888885
322,5,2,5,2,3,3,2,26,17,4.4,4.414181257631258
323,6,4,5,6,4,9,11,28,19,6.7,6.796293650793651
324,6,3,3,3,0,0,12,27,1,4.9,4.8596889971140005
325,5,2,5,0,5,6,0,28,20,4.3,4.356266755466755
326,6,5,8,0,5,0,4,9,10,4.7,4.964381709956709
327,8,2,10,10,2,17,3,14,18,8.3,8.27010652958153
328,7,2,8,3,7,12,7,21,12,6.3,6.235144841269844
329,3,2,9,3,1,11,13,4,10,4.2,4.368886417748916
330,8,1,11,14,1,0,15,4,13,6.3,6.9002322871572845
331,5,2,8,14,0,15,0,28,15,6.1,6.1778113095238085
332,4,6,9,2,3,16,8,2,17,5.7,5.937306367243866
333,8,3,6,8,1,0,9,5,2,7.0,7.332053517316016
334,7,3,10,11,6,14,3,16,3,8.1,8.163171428571424
335,4,6,9,13,8,21,14,27,3,8.2,7.675113492063494
336,5,1,7,12,8,1,3,4,19,4.9,4.894484706959709
337,6,3,10,10,8,32,0,7,1,8.9,8.303051327838823
338,10,4,10,3,0,13,12,2,16,9.0,8.73138787878788
339,7,6,12,6,2,0,2,23,4,7.0,7.066767622655124
340,10,4,8,11,9,10,5,6,5,9.7,9.530303174603166
341,3,1,6,10,2,5,8,21,15,4.3,4.309161760461759
342,7,6,3,7,9,13,13,25,5,9.2,8.921833676046178
343,7,5,8,10,0,1,5,21,1,7.3,7.670984523809524
344,8,3,10,6,3,10,9,3,9,7.6,7.593609613997108
345,3,6,6,1,3,8,0,14,6,4.6,4.818437499999998
346,4,1,10,8,6,5,0,14,3,4.4,4.5012508838383845
347,6,4,10,3,0,16,13,16,16,6.3,6.422290440115443
348,7,1,9,6,1,4,2,22,4,5.2,5.484216468253969
349,6,1,7,7,10,14,10,28,11,6.2,6.140361904761907
350,5,5,7,4,2,22,12,19,11,7.2,6.755129563492061
351,5,5,3,8,4,29,3,8,10,8.8,8.177959920634924
352,6,6,2,15,12,16,1,0,2,9.5,9.010916414141416
353,6,3,13,13,2,4,2,25,3,5.9,6.16898592796093
354,6,3,7,12,6,2,15,0,13,6.2,6.138268431568431
355,9,3,4,3,11,14,0,13,1,9.0,8.408502777777779
356,4,3,7,0,6,10,9,5,11,4.3,4.449363616938615
357,9,2,5,2,3,12,13,14,16,7.7,7.562643596681097
358,4,6,4,16,8,5,14,21,7,7.1,6.432979365079369
359,8,5,6,14,10,11,7,11,8,9.5,9.379244252969249
360,4,1,5,12,5,3,11,18,12,4.6,4.679417658730162
361,8,6,11,15,1,18,8,7,15,9.6,9.357029868742359
362,2,1,4,10,5,3,10,10,10,4.2,4.240680916305914
363,5,4,10,12,5,21,12,8,17,7.7,7.610350198412698
364,4,4,8,1,10,10,12,18,0,4.7,4.8027957070707
365,5,5,11,6,6,12,13,5,16,6.4,6.4630486471861515
366,3,2,9,21,2,1,2,23,11,4.5,4.560229761904762
367,8,2,11,12,4,11,14,27,10,8.0,8.030535714285712
368,5,3,14,5,11,14,3,28,9,5.7,5.4867753968253945
369,8,4,1,10,0,3,12,29,0,8.3,8.30929365079365
370,7,3,9,3,0,0,1,7,15,5.2,5.281373520923521
371,6,4,3,5,13,21,15,7,8,8.5,7.849351785714288
372,8,1,11,2,4,13,1,9,11,6.1,6.704933928571429
373,4,1,13,2,6,3,0,11,16,4.1,4.2687151334776345
374,4,3,7,18,13,17,12,11,19,7.3,6.576987698412699
375,7,1,7,6,4,4,2,20,17,5.5,5.670430753968255
376,6,7,9,1,5,17,6,16,15,7.8,7.383036598124098
377,1,1,6,11,4,7,1,10,0,4.1,4.256930248917748
378,4,4,9,1,7,19,2,3,17,5.1,5.292986904761903
379,8,8,7,16,3,0,3,18,16,9.5,9.0335376984127
380,7,2,5,5,11,2,14,28,16,6.1,5.919021789321789
381,3,3,4,10,3,11,8,26,19,4.9,4.900802777777779
382,2,4,10,8,9,5,15,10,15,4.4,4.565711075036076
383,5,4,8,11,3,4,3,15,14,5.8,5.780323313492062
384,6,6,10,15,7,10,4,8,11,8.7,8.554909920634923
385,6,5,4,0,0,20,14,17,0,6.2,6.403168434343432
386,7,1,14,0,0,7,14,9,19,4.4,5.2396736832611825
387,7,4,8,4,10,5,14,17,17,7.0,6.822693939393937
388,8,5,4,17,5,6,6,15,14,9.4,9.223445695970696
389,8,4,8,7,8,11,7,20,20,8.7,8.620739285714285
390,8,4,11,11,1,9,4,21,11,8.4,8.455061255411255
391,6,3,8,5,5,7,3,11,16,5.7,5.6803638049450536
392,7,3,8,0,10,13,2,24,12,5.8,6.198166468253968
393,5,3,11,14,0,1,5,24,10,5.1,5.17028015873016
394,3,4,1,18,2,22,11,11,7,7.1,6.9230952380952395
395,5,4,15,5,0,18,3,1,13,5.8,6.086697619047618
396,7,3,10,12,5,3,0,25,15,6.9,7.050987103174599
397,6,3,8,9,4,19,3,24,18,7.6,7.435226129426128
398,6,6,9,7,5,3,0,27,8,7.0,7.050751623376624
399,8,1,1,3,0,11,5,16,19,6.5,6.7092020021645045
400,5,4,8,9,5,18,2,23,3,7.2,7.051032665945167
