id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro
45,6,5,8,0,2,22,12,29,13,6.3
46,8,2,9,8,4,0,14,14,14,6.4
47,5,1,8,0,3,7,0,29,0,4.2
48,7,4,10,3,2,6,1,26,7,6.2
49,7,5,6,5,7,8,14,29,17,7.9
50,8,3,3,7,3,14,10,1,5,8.6
51,1,3,13,3,0,6,5,26,5,4.1
52,8,4,8,3,6,10,1,1,18,7.9
53,6,8,3,2,10,9,8,26,16,8.4
54,4,2,9,12,6,4,15,28,4,4.7
55,6,4,8,3,4,10,1,6,9,6.0
56,3,5,10,0,10,0,9,14,19,4.2
57,7,4,5,20,6,9,6,4,6,9.0
58,3,1,5,0,2,2,11,2,20,4.0
59,8,5,13,2,3,19,12,25,4,8.5
60,8,1,2,2,15,17,15,1,9,7.9
61,7,2,8,5,4,0,4,22,0,5.3
62,4,5,13,6,9,15,12,15,9,6.0
63,7,7,7,0,5,10,12,18,5,7.2
64,8,2,7,6,2,19,15,5,1,8.2
65,9,2,9,8,9,32,11,30,5,9.7
66,7,3,9,2,5,8,12,12,9,5.9
67,4,3,7,6,4,7,3,21,7,4.7
68,5,4,5,12,3,0,13,2,7,5.7
69,8,1,6,3,5,10,5,11,6,6.4
70,7,1,3,3,4,0,0,22,3,5.0
71,2,1,8,10,5,6,8,26,18,4.2
72,10,4,7,9,3,14,3,17,20,9.6
73,7,4,9,0,4,1,7,20,19,4.9
74,6,4,10,7,11,16,2,17,3,7.8
75,2,4,2,12,2,11,9,18,10,4.8
76,6,4,9,4,7,12,3,19,12,6.6
77,6,6,13,8,2,8,1,16,13,7.3
78,8,5,9,8,2,11,8,0,15,8.8
79,6,4,7,4,6,8,14,9,5,6.2
80,5,3,8,3,6,5,11,12,19,4.8
81,5,1,6,7,11,2,4,2,11,4.7
82,4,6,6,5,2,8,7,26,6,5.6
83,8,2,4,9,7,5,2,30,5,7.7
84,7,1,8,12,4,18,7,27,8,7.7
85,5,5,2,5,2,6,11,6,6,5.9
86,7,4,11,4,12,7,9,0,9,7.1
87,6,2,6,13,5,7,8,5,2,6.4
88,9,3,5,11,3,20,14,26,5,9.5
89,6,1,10,6,0,13,4,16,7,5.2
90,9,1,9,7,0,17,8,2,8,8.2
91,7,4,6,14,1,7,3,7,17,8.1
92,5,2,8,7,8,16,13,11,11,5.9
93,9,2,9,4,2,13,1,14,9,7.9
94,6,5,11,3,9,0,11,19,6,5.6
95,8,4,5,13,0,2,7,27,15,8.3
96,3,2,13,4,12,5,3,9,2,4.2
97,6,4,10,8,2,21,14,25,14,7.9
98,8,3,7,16,0,22,1,9,5,9.4
99,7,3,8,5,0,12,11,23,8,6.7
100,5,5,6,10,1,7,4,11,16,6.4
101,8,4,8,4,3,14,7,21,20,8.3
102,7,1,3,12,1,16,11,11,8,7.6
103,2,6,8,4,0,10,13,11,7,4.5
104,8,1,10,4,4,17,5,10,2,7.1
105,6,1,5,9,12,5,13,3,1,5.8
106,3,2,3,9,6,7,11,6,8,4.5
107,4,2,11,11,10,9,14,28,8,5.0
108,8,5,6,11,12,10,0,14,6,9.4
109,8,3,4,9,0,16,2,10,8,8.7
110,8,4,8,11,4,3,15,3,14,8.2
111,7,5,2,15,0,7,1,14,7,8.7
112,4,8,6,4,6,4,9,2,0,6.2
113,3,5,5,13,1,17,7,6,1,6.2
114,5,1,9,10,7,0,10,9,1,4.6
115,10,5,9,13,11,9,1,10,13,9.8
116,6,1,4,2,0,9,4,5,14,4.7
117,4,3,7,9,0,18,13,21,17,5.6
118,7,3,10,2,14,8,8,7,11,6.4
119,7,3,7,15,3,16,3,5,18,8.6
120,3,2,3,6,1,7,13,24,5,4.3
121,2,2,10,16,4,6,4,9,9,4.3
122,6,7,5,8,6,0,10,24,4,7.7
123,5,3,5,7,2,17,5,4,16,6.2
124,7,4,10,8,4,9,5,10,5,7.5
125,7,6,7,5,12,4,0,27,4,8.2
126,4,4,10,13,8,5,9,13,2,5.5
127,6,2,7,1,8,5,3,5,15,4.8
128,7,5,6,7,4,11,8,23,6,8.3
129,9,4,11,5,7,10,15,17,19,8.8
130,7,1,5,16,6,3,4,29,0,6.8
131,3,3,8,9,9,13,6,14,6,5.0
132,10,6,5,13,7,27,9,28,0,10.0
133,7,1,6,2,2,14,8,11,18,5.6
134,7,2,6,14,8,10,7,0,1,7.9
135,3,6,12,19,8,2,2,12,4,5.7
136,6,5,8,0,8,16,7,18,11,6.1
137,7,5,14,15,8,1,11,7,3,8.0
138,7,1,10,5,9,4,9,2,1,5.4
139,8,4,11,12,1,10,11,1,10,8.6
140,5,4,1,9,6,22,11,6,5,8.1
141,6,6,7,13,3,0,0,10,9,7.5
142,8,6,7,12,4,11,15,17,17,9.5
143,6,6,8,11,7,6,10,25,1,8.1
144,8,2,8,12,8,13,0,27,3,8.6
145,5,8,9,10,0,20,8,13,11,8.9
146,7,2,8,7,6,15,15,28,9,7.3
147,8,1,5,6,0,18,13,15,15,7.6
148,5,2,9,5,3,14,12,2,2,5.1
149,7,7,4,7,0,8,15,12,8,8.7
150,7,6,9,8,4,3,2,20,1,7.9
151,8,2,7,13,6,0,9,15,13,7.4
152,4,2,9,5,4,0,14,19,12,4.3
153,4,4,6,16,5,0,12,4,11,5.4
154,5,2,10,15,9,0,12,22,14,5.2
155,7,3,8,16,11,7,10,14,6,8.3
156,2,5,9,11,2,14,14,25,20,5.0
157,1,7,7,4,0,13,12,1,2,4.5
158,6,6,8,15,4,14,8,18,18,8.9
159,7,5,8,2,6,18,11,13,19,8.1
160,5,3,9,0,11,11,2,14,7,4.6
161,8,5,8,6,4,5,6,6,12,8.2
162,7,4,1,20,5,14,4,21,2,9.4
163,5,6,8,3,10,10,8,24,19,6.6
164,8,3,15,21,4,4,15,6,4,8.3
165,8,1,4,5,3,21,6,13,20,8.0
166,10,5,8,2,5,12,11,13,15,9.3
167,8,2,6,9,2,24,9,9,0,9.0
168,5,3,9,7,6,8,4,19,4,5.4
169,5,5,10,6,9,3,5,4,20,5.7
170,10,1,5,0,0,2,6,1,0,5.7
171,7,4,8,4,0,0,10,14,19,5.8
172,7,6,7,0,0,15,15,7,4,6.9
173,7,5,1,11,5,24,9,1,6,9.6
174,6,4,3,6,2,9,9,5,5,6.7
175,9,3,7,0,5,13,6,4,3,7.2
176,6,4,9,0,8,0,10,23,9,4.6
177,6,4,9,7,4,14,13,11,6,7.2
178,6,4,12,9,7,4,12,29,17,6.3
179,6,1,9,8,13,13,5,10,7,6.3
180,2,3,11,6,7,15,0,3,6,4.4
181,5,5,8,0,3,0,6,2,18,4.4
182,4,2,6,10,2,5,14,15,14,4.6
183,5,3,9,9,2,11,15,21,7,5.7
184,2,4,7,9,8,9,12,5,20,4.6
185,5,5,8,0,5,25,0,9,3,6.0
186,4,3,9,3,0,10,15,26,17,4.5
187,6,4,13,6,12,16,2,30,1,7.5
188,8,1,13,13,10,19,0,24,19,8.7
189,10,5,5,14,7,14,8,15,18,9.9
190,3,3,3,5,8,9,13,1,3,4.6
191,7,6,5,14,6,5,15,3,12,9.0
192,5,1,7,0,2,15,13,15,4,4.3
193,6,3,5,10,0,18,5,28,3,7.5
194,7,6,10,9,2,26,13,23,2,9.5
195,6,1,10,6,2,0,9,18,3,4.6
196,6,2,6,11,4,10,15,22,16,6.4
197,6,1,10,10,0,11,0,14,7,5.5
198,5,4,8,9,2,14,11,19,18,6.5
199,5,5,10,2,11,9,8,12,19,5.7
200,8,4,7,12,13,0,9,5,5,8.6
201,4,2,8,3,0,25,11,30,5,5.0
202,5,1,1,6,0,4,12,14,20,4.6
203,8,1,2,5,6,12,15,6,8,7.4
204,6,4,4,21,1,6,1,4,17,7.9
205,5,3,5,9,0,0,9,23,13,4.9
206,7,1,13,5,5,13,4,16,2,5.9
207,7,4,9,4,4,3,7,24,8,6.3
208,7,5,9,13,5,3,0,5,15,8.1
209,7,4,8,7,6,4,5,26,7,7.1
210,4,3,9,6,5,15,10,2,19,5.2
211,9,3,9,12,9,17,11,19,8,9.5
212,5,3,9,7,5,5,7,23,6,5.1
213,2,2,9,15,10,2,1,29,12,4.3
214,6,3,6,12,7,25,6,30,20,8.7
215,4,1,8,11,5,6,14,12,0,4.6
216,7,3,3,13,3,5,2,19,10,7.6
217,9,4,7,21,5,8,12,5,12,9.6
218,6,2,10,14,3,6,11,14,12,6.0
219,2,7,8,8,1,1,5,7,10,4.6
220,9,9,8,0,4,10,0,2,3,9.2
221,5,3,4,11,0,16,2,13,19,6.6
222,6,3,10,18,0,15,4,16,7,7.7
223,7,4,7,0,10,3,0,20,2,5.4
224,4,2,9,13,11,10,0,9,10,5.4
225,4,4,10,0,10,22,14,17,3,4.9
226,8,2,9,6,13,13,11,18,13,8.2
227,7,2,9,2,6,3,15,27,3,5.2
228,4,4,9,4,7,0,15,11,16,4.5
229,4,1,5,20,4,4,12,13,4,4.9
230,10,4,6,7,1,0,1,19,0,8.8
231,6,4,8,4,6,0,3,16,3,5.4
232,8,2,9,0,2,22,7,23,9,6.5
233,6,1,4,10,2,7,3,13,15,5.5
234,5,7,4,3,7,9,14,16,9,7.1
235,7,4,6,1,4,24,10,25,17,8.0
236,8,5,6,9,0,10,14,26,8,8.9
237,6,2,8,12,7,4,7,13,7,6.0
238,6,3,9,11,11,0,0,12,6,6.1
239,6,1,11,9,8,10,1,18,13,5.7
240,8,2,8,3,6,11,4,24,16,7.0
241,9,1,15,5,2,11,1,14,13,7.0
242,7,6,6,9,12,0,14,1,0,8.4
243,5,4,3,6,8,16,0,22,4,7.0
244,9,3,9,8,9,11,0,13,15,9.0
245,6,1,9,5,7,8,13,25,0,5.1
246,3,3,10,16,5,12,1,12,18,5.2
247,5,2,6,11,5,19,0,28,4,6.6
248,7,1,10,7,9,1,12,30,3,5.4
249,6,6,10,4,4,14,11,25,4,7.6
250,5,5,6,7,1,3,1,16,6,5.6
251,5,3,6,9,0,8,13,15,17,5.4
252,5,3,15,6,0,14,10,23,19,5.2
253,1,4,13,2,0,0,4,11,4,4.0
254,4,2,15,11,0,12,9,11,20,4.7
255,6,8,6,13,6,13,12,29,14,9.4
256,5,4,4,17,9,8,4,6,19,7.5
257,10,1,9,6,1,12,8,17,19,8.4
258,7,2,3,10,6,10,9,11,14,7.5
259,7,5,1,11,3,1,9,14,13,8.1
260,3,2,5,2,1,19,4,21,6,4.4
261,4,4,6,5,2,6,3,24,16,4.8
262,3,1,6,3,0,18,8,30,6,4.3
263,6,5,11,1,4,1,12,22,9,5.1
264,4,4,6,0,6,5,14,24,13,4.3
265,6,3,10,8,3,11,4,11,10,6.3
266,7,6,5,6,0,9,4,5,14,8.3
267,7,3,5,10,12,16,8,28,19,8.7
268,7,4,8,6,9,13,5,3,19,8.1
269,6,4,12,13,7,21,9,8,7,8.6
270,7,3,10,6,0,17,3,10,9,7.3
271,5,1,5,9,10,4,8,0,19,5.0
272,5,4,4,9,11,8,5,1,16,6.7
273,5,1,6,6,7,13,11,6,18,5.1
274,4,2,3,8,3,15,13,4,5,5.2
275,9,3,7,3,3,12,8,18,4,8.3
276,6,1,6,8,6,18,5,15,2,6.5
277,4,3,6,14,3,7,1,13,11,5.3
278,5,1,8,0,0,24,14,3,6,4.5
279,4,3,2,7,11,5,3,26,3,5.1
280,5,4,6,0,9,1,14,4,14,4.4
281,4,1,11,12,10,18,0,8,13,5.4
282,3,2,11,19,3,13,15,30,18,5.0
283,4,1,10,14,6,8,3,19,15,4.8
284,4,2,12,3,8,20,4,11,5,4.9
285,8,2,6,12,0,10,12,27,14,8.0
286,5,5,10,14,7,14,13,3,7,7.8
287,5,4,6,9,9,5,7,2,5,6.1
288,7,5,4,10,3,24,11,30,14,9.4
289,8,1,10,7,4,11,11,19,0,6.9
290,5,6,9,14,0,8,12,28,17,7.3
291,5,2,11,3,4,4,15,26,18,4.4
292,7,1,10,8,1,6,2,11,6,5.6
293,6,4,10,16,9,4,3,10,3,7.4
294,7,3,10,5,3,18,0,16,12,7.5
295,6,1,4,3,5,0,14,18,6,4.6
296,6,4,7,4,0,7,12,1,18,5.8
297,8,5,11,11,0,12,2,3,2,9.0
298,6,7,5,8,6,11,7,13,8,8.7
299,10,1,10,4,2,15,7,0,19,8.4
300,6,4,7,13,7,13,12,15,11,8.1
301,9,4,12,7,12,13,10,4,16,9.3
302,6,2,2,13,7,9,5,12,3,7.0
303,7,2,8,11,0,5,9,6,18,6.3
304,8,2,3,11,5,23,2,4,10,9.3
305,7,1,9,12,4,3,3,19,13,5.9
306,8,2,10,6,0,10,3,5,16,6.9
307,7,8,4,6,1,8,1,16,8,9.0
308,4,7,7,6,5,21,4,8,9,7.8
309,6,3,7,12,1,17,9,14,17,7.6
310,6,6,9,7,1,9,5,5,2,7.4
311,8,2,5,16,0,11,4,4,5,8.5
312,6,5,9,18,7,10,0,18,18,8.6
313,6,4,13,9,5,13,9,21,17,7.1
314,7,5,7,14,3,15,7,27,12,9.1
315,8,4,12,13,2,8,7,28,0,8.5
316,8,2,6,6,13,13,15,13,1,8.3
317,5,2,13,7,2,1,13,13,20,4.5
318,5,6,7,14,2,14,5,15,4,8.2
319,7,2,8,12,5,15,0,14,20,7.9
320,8,4,6,8,2,8,9,20,3,8.4
321,7,3,5,14,13,7,5,30,14,8.4
322,5,2,5,2,3,3,2,26,17,4.4
323,6,4,5,6,4,9,11,28,19,6.7
324,6,3,3,3,0,0,12,27,1,4.9
325,5,2,5,0,5,6,0,28,20,4.3
326,6,5,8,0,5,0,4,9,10,4.7
327,8,2,10,10,2,17,3,14,18,8.3
328,7,2,8,3,7,12,7,21,12,6.3
329,3,2,9,3,1,11,13,4,10,4.2
330,8,1,11,14,1,0,15,4,13,6.3
331,5,2,8,14,0,15,0,28,15,6.1
332,4,6,9,2,3,16,8,2,17,5.7
333,8,3,6,8,1,0,9,5,2,7.0
334,7,3,10,11,6,14,3,16,3,8.1
335,4,6,9,13,8,21,14,27,3,8.2
336,5,1,7,12,8,1,3,4,19,4.9
337,6,3,10,10,8,32,0,7,1,8.9
338,10,4,10,3,0,13,12,2,16,9.0
339,7,6,12,6,2,0,2,23,4,7.0
340,10,4,8,11,9,10,5,6,5,9.7
341,3,1,6,10,2,5,8,21,15,4.3
342,7,6,3,7,9,13,13,25,5,9.2
343,7,5,8,10,0,1,5,21,1,7.3
344,8,3,10,6,3,10,9,3,9,7.6
345,3,6,6,1,3,8,0,14,6,4.6
346,4,1,10,8,6,5,0,14,3,4.4
347,6,4,10,3,0,16,13,16,16,6.3
348,7,1,9,6,1,4,2,22,4,5.2
349,6,1,7,7,10,14,10,28,11,6.2
350,5,5,7,4,2,22,12,19,11,7.2
351,5,5,3,8,4,29,3,8,10,8.8
352,6,6,2,15,12,16,1,0,2,9.5
353,6,3,13,13,2,4,2,25,3,5.9
354,6,3,7,12,6,2,15,0,13,6.2
355,9,3,4,3,11,14,0,13,1,9.0
356,4,3,7,0,6,10,9,5,11,4.3
357,9,2,5,2,3,12,13,14,16,7.7
358,4,6,4,16,8,5,14,21,7,7.1
359,8,5,6,14,10,11,7,11,8,9.5
360,4,1,5,12,5,3,11,18,12,4.6
361,8,6,11,15,1,18,8,7,15,9.6
362,2,1,4,10,5,3,10,10,10,4.2
363,5,4,10,12,5,21,12,8,17,7.7
364,4,4,8,1,10,10,12,18,0,4.7
365,5,5,11,6,6,12,13,5,16,6.4
366,3,2,9,21,2,1,2,23,11,4.5
367,8,2,11,12,4,11,14,27,10,8.0
368,5,3,14,5,11,14,3,28,9,5.7
369,8,4,1,10,0,3,12,29,0,8.3
370,7,3,9,3,0,0,1,7,15,5.2
371,6,4,3,5,13,21,15,7,8,8.5
372,8,1,11,2,4,13,1,9,11,6.1
373,4,1,13,2,6,3,0,11,16,4.1
374,4,3,7,18,13,17,12,11,19,7.3
375,7,1,7,6,4,4,2,20,17,5.5
376,6,7,9,1,5,17,6,16,15,7.8
377,1,1,6,11,4,7,1,10,0,4.1
378,4,4,9,1,7,19,2,3,17,5.1
379,8,8,7,16,3,0,3,18,16,9.5
380,7,2,5,5,11,2,14,28,16,6.1
381,3,3,4,10,3,11,8,26,19,4.9
382,2,4,10,8,9,5,15,10,15,4.4
383,5,4,8,11,3,4,3,15,14,5.8
384,6,6,10,15,7,10,4,8,11,8.7
385,6,5,4,0,0,20,14,17,0,6.2
386,7,1,14,0,0,7,14,9,19,4.4
387,7,4,8,4,10,5,14,17,17,7.0
388,8,5,4,17,5,6,6,15,14,9.4
389,8,4,8,7,8,11,7,20,20,8.7
390,8,4,11,11,1,9,4,21,11,8.4
391,6,3,8,5,5,7,3,11,16,5.7
392,7,3,8,0,10,13,2,24,12,5.8
393,5,3,11,14,0,1,5,24,10,5.1
394,3,4,1,18,2,22,11,11,7,7.1
395,5,4,15,5,0,18,3,1,13,5.8
396,7,3,10,12,5,3,0,25,15,6.9
397,6,3,8,9,4,19,3,24,18,7.6
398,6,6,9,7,5,3,0,27,8,7.0
399,8,1,1,3,0,11,5,16,19,6.5
400,5,4,8,9,5,18,2,23,3,7.2
