id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
109,8,3,4,9,0,16,2,10,8,8.7,bajo,bajo,alto
110,8,4,8,11,4,3,15,3,14,8.2,medio,medio,alto
111,7,5,2,15,0,7,1,14,7,8.7,bajo,bajo,alto
112,4,8,6,4,6,4,9,2,0,6.2,bajo,bajo,bajo
113,3,5,5,13,1,17,7,6,1,6.2,bajo,bajo,medio
114,5,1,9,10,7,0,10,9,1,4.6,bajo,medio,medio
115,10,5,9,13,11,9,1,10,13,9.8,bajo,bajo,alto
116,6,1,4,2,0,9,4,5,14,4.7,bajo,medio,medio
117,4,3,7,9,0,18,13,21,17,5.6,alto,alto,alto
118,7,3,10,2,14,8,8,7,11,6.4,medio,medio,alto
119,7,3,7,15,3,16,3,5,18,8.6,bajo,bajo,alto
120,3,2,3,6,1,7,13,24,5,4.3,alto,alto,alto
121,2,2,10,16,4,6,4,9,9,4.3,medio,alto,alto
122,6,7,5,8,6,0,10,24,4,7.7,medio,medio,alto
123,5,3,5,7,2,17,5,4,16,6.2,medio,medio,alto
124,7,4,10,8,4,9,5,10,5,7.5,bajo,bajo,medio
125,7,6,7,5,12,4,0,27,4,8.2,medio,bajo,alto
126,4,4,10,13,8,5,9,13,2,5.5,medio,alto,alto
127,6,2,7,1,8,5,3,5,15,4.8,bajo,medio,medio
128,7,5,6,7,4,11,8,23,6,8.3,medio,medio,alto
129,9,4,11,5,7,10,15,17,19,8.8,alto,alto,alto
130,7,1,5,16,6,3,4,29,0,6.8,medio,medio,alto
131,3,3,8,9,9,13,6,14,6,5.0,medio,alto,alto
132,10,6,5,13,7,27,9,28,0,10.0,medio,medio,alto
133,7,1,6,2,2,14,8,11,18,5.6,medio,alto,alto
134,7,2,6,14,8,10,7,0,1,7.9,bajo,bajo,bajo
135,3,6,12,19,8,2,2,12,4,5.7,bajo,medio,medio
136,6,5,8,0,8,16,7,18,11,6.1,medio,medio,alto
137,7,5,14,15,8,1,11,7,3,8.0,bajo,bajo,alto
138,7,1,10,5,9,4,9,2,1,5.4,bajo,medio,medio
139,8,4,11,12,1,10,11,1,10,8.6,bajo,bajo,medio
140,5,4,1,9,6,22,11,6,5,8.1,medio,medio,alto
141,6,6,7,13,3,0,0,10,9,7.5,bajo,bajo,medio
142,8,6,7,12,4,11,15,17,17,9.5,alto,alto,alto
143,6,6,8,11,7,6,10,25,1,8.1,medio,medio,alto
144,8,2,8,12,8,13,0,27,3,8.6,medio,bajo,alto
145,5,8,9,10,0,20,8,13,11,8.9,medio,medio,alto
146,7,2,8,7,6,15,15,28,9,7.3,alto,alto,alto
147,8,1,5,6,0,18,13,15,15,7.6,alto,alto,alto
148,5,2,9,5,3,14,12,2,2,5.1,bajo,medio,medio
149,7,7,4,7,0,8,15,12,8,8.7,medio,medio,alto
150,7,6,9,8,4,3,2,20,1,7.9,bajo,bajo,medio
151,8,2,7,13,6,0,9,15,13,7.4,medio,medio,alto
152,4,2,9,5,4,0,14,19,12,4.3,alto,alto,alto
153,4,4,6,16,5,0,12,4,11,5.4,medio,alto,alto
154,5,2,10,15,9,0,12,22,14,5.2,alto,alto,alto
155,7,3,8,16,11,7,10,14,6,8.3,medio,medio,alto
156,2,5,9,11,2,14,14,25,20,5.0,alto,alto,alto
157,1,7,7,4,0,13,12,1,2,4.5,medio,alto,alto
158,6,6,8,15,4,14,8,18,18,8.9,alto,alto,alto
159,7,5,8,2,6,18,11,13,19,8.1,alto,alto,alto
160,5,3,9,0,11,11,2,14,7,4.6,bajo,medio,medio
161,8,5,8,6,4,5,6,6,12,8.2,bajo,bajo,alto
162,7,4,1,20,5,14,4,21,2,9.4,medio,bajo,alto
163,5,6,8,3,10,10,8,24,19,6.6,alto,alto,alto
164,8,3,15,21,4,4,15,6,4,8.3,medio,medio,alto
165,8,1,4,5,3,21,6,13,20,8.0,medio,medio,alto
166,10,5,8,2,5,12,11,13,15,9.3,medio,medio,alto
167,8,2,6,9,2,24,9,9,0,9.0,bajo,bajo,medio
168,5,3,9,7,6,8,4,19,4,5.4,medio,alto,alto
169,5,5,10,6,9,3,5,4,20,5.7,medio,alto,alto
170,10,1,5,0,0,2,6,1,0,5.7,bajo,bajo,bajo
171,7,4,8,4,0,0,10,14,19,5.8,alto,alto,alto
172,7,6,7,0,0,15,15,7,4,6.9,medio,medio,alto
173,7,5,1,11,5,24,9,1,6,9.6,bajo,bajo,medio
174,6,4,3,6,2,9,9,5,5,6.7,bajo,bajo,medio
175,9,3,7,0,5,13,6,4,3,7.2,bajo,bajo,medio
176,6,4,9,0,8,0,10,23,9,4.6,alto,alto,alto
177,6,4,9,7,4,14,13,11,6,7.2,medio,medio,alto
178,6,4,12,9,7,4,12,29,17,6.3,alto,alto,alto
179,6,1,9,8,13,13,5,10,7,6.3,bajo,bajo,medio
180,2,3,11,6,7,15,0,3,6,4.4,bajo,bajo,bajo
181,5,5,8,0,3,0,6,2,18,4.4,medio,alto,alto
182,4,2,6,10,2,5,14,15,14,4.6,alto,alto,alto
183,5,3,9,9,2,11,15,21,7,5.7,alto,alto,alto
184,2,4,7,9,8,9,12,5,20,4.6,alto,alto,alto
185,5,5,8,0,5,25,0,9,3,6.0,bajo,bajo,medio
186,4,3,9,3,0,10,15,26,17,4.5,alto,alto,alto
187,6,4,13,6,12,16,2,30,1,7.5,medio,medio,alto
188,8,1,13,13,10,19,0,24,19,8.7,medio,medio,alto
189,10,5,5,14,7,14,8,15,18,9.9,medio,medio,alto
190,3,3,3,5,8,9,13,1,3,4.6,bajo,medio,medio
191,7,6,5,14,6,5,15,3,12,9.0,medio,medio,alto
192,5,1,7,0,2,15,13,15,4,4.3,medio,alto,alto
193,6,3,5,10,0,18,5,28,3,7.5,medio,medio,alto
194,7,6,10,9,2,26,13,23,2,9.5,medio,medio,alto
195,6,1,10,6,2,0,9,18,3,4.6,medio,alto,alto
196,6,2,6,11,4,10,15,22,16,6.4,alto,alto,alto
197,6,1,10,10,0,11,0,14,7,5.5,bajo,medio,medio
198,5,4,8,9,2,14,11,19,18,6.5,alto,alto,alto
199,5,5,10,2,11,9,8,12,19,5.7,alto,alto,alto
200,8,4,7,12,13,0,9,5,5,8.6,bajo,bajo,medio
201,4,2,8,3,0,25,11,30,5,5.0,alto,alto,alto
202,5,1,1,6,0,4,12,14,20,4.6,alto,alto,alto
203,8,1,2,5,6,12,15,6,8,7.4,medio,medio,alto
204,6,4,4,21,1,6,1,4,17,7.9,bajo,bajo,medio
205,5,3,5,9,0,0,9,23,13,4.9,alto,alto,alto
206,7,1,13,5,5,13,4,16,2,5.9,bajo,medio,alto
207,7,4,9,4,4,3,7,24,8,6.3,medio,medio,alto
208,7,5,9,13,5,3,0,5,15,8.1,bajo,bajo,medio
209,7,4,8,7,6,4,5,26,7,7.1,medio,medio,alto
210,4,3,9,6,5,15,10,2,19,5.2,medio,alto,alto
211,9,3,9,12,9,17,11,19,8,9.5,medio,medio,alto
212,5,3,9,7,5,5,7,23,6,5.1,medio,alto,alto
213,2,2,9,15,10,2,1,29,12,4.3,alto,alto,alto
214,6,3,6,12,7,25,6,30,20,8.7,alto,alto,alto
215,4,1,8,11,5,6,14,12,0,4.6,medio,alto,alto
216,7,3,3,13,3,5,2,19,10,7.6,medio,medio,alto
217,9,4,7,21,5,8,12,5,12,9.6,medio,medio,alto
218,6,2,10,14,3,6,11,14,12,6.0,medio,alto,alto
219,2,7,8,8,1,1,5,7,10,4.6,medio,alto,alto
220,9,9,8,0,4,10,0,2,3,9.2,bajo,bajo,medio
221,5,3,4,11,0,16,2,13,19,6.6,medio,medio,alto
222,6,3,10,18,0,15,4,16,7,7.7,medio,medio,alto
223,7,4,7,0,10,3,0,20,2,5.4,bajo,bajo,medio
224,4,2,9,13,11,10,0,9,10,5.4,bajo,medio,medio
225,4,4,10,0,10,22,14,17,3,4.9,medio,alto,alto
226,8,2,9,6,13,13,11,18,13,8.2,medio,medio,alto
227,7,2,9,2,6,3,15,27,3,5.2,alto,alto,alto
228,4,4,9,4,7,0,15,11,16,4.5,alto,alto,alto
229,4,1,5,20,4,4,12,13,4,4.9,medio,alto,alto
230,10,4,6,7,1,0,1,19,0,8.8,bajo,bajo,alto
231,6,4,8,4,6,0,3,16,3,5.4,bajo,medio,alto
232,8,2,9,0,2,22,7,23,9,6.5,medio,medio,alto
233,6,1,4,10,2,7,3,13,15,5.5,medio,alto,alto
234,5,7,4,3,7,9,14,16,9,7.1,alto,alto,alto
235,7,4,6,1,4,24,10,25,17,8.0,alto,alto,alto
236,8,5,6,9,0,10,14,26,8,8.9,alto,alto,alto
237,6,2,8,12,7,4,7,13,7,6.0,medio,alto,alto
238,6,3,9,11,11,0,0,12,6,6.1,bajo,bajo,medio
239,6,1,11,9,8,10,1,18,13,5.7,medio,alto,alto
240,8,2,8,3,6,11,4,24,16,7.0,medio,medio,alto
241,9,1,15,5,2,11,1,14,13,7.0,bajo,bajo,medio
242,7,6,6,9,12,0,14,1,0,8.4,bajo,bajo,medio
243,5,4,3,6,8,16,0,22,4,7.0,medio,medio,alto
244,9,3,9,8,9,11,0,13,15,9.0,bajo,bajo,alto
245,6,1,9,5,7,8,13,25,0,5.1,medio,alto,alto
246,3,3,10,16,5,12,1,12,18,5.2,medio,alto,alto
247,5,2,6,11,5,19,0,28,4,6.6,medio,medio,alto
248,7,1,10,7,9,1,12,30,3,5.4,alto,alto,alto
249,6,6,10,4,4,14,11,25,4,7.6,alto,alto,alto
250,5,5,6,7,1,3,1,16,6,5.6,bajo,medio,alto
251,5,3,6,9,0,8,13,15,17,5.4,alto,alto,alto
252,5,3,15,6,0,14,10,23,19,5.2,alto,alto,alto
253,1,4,13,2,0,0,4,11,4,4.0,medio,alto,alto
254,4,2,15,11,0,12,9,11,20,4.7,alto,alto,alto
255,6,8,6,13,6,13,12,29,14,9.4,alto,alto,alto
256,5,4,4,17,9,8,4,6,19,7.5,medio,medio,alto
257,10,1,9,6,1,12,8,17,19,8.4,medio,medio,alto
258,7,2,3,10,6,10,9,11,14,7.5,medio,medio,alto
259,7,5,1,11,3,1,9,14,13,8.1,medio,medio,alto
260,3,2,5,2,1,19,4,21,6,4.4,medio,alto,alto
261,4,4,6,5,2,6,3,24,16,4.8,alto,alto,alto
262,3,1,6,3,0,18,8,30,6,4.3,alto,alto,alto
263,6,5,11,1,4,1,12,22,9,5.1,alto,alto,alto
264,4,4,6,0,6,5,14,24,13,4.3,alto,alto,alto
265,6,3,10,8,3,11,4,11,10,6.3,bajo,bajo,medio
266,7,6,5,6,0,9,4,5,14,8.3,bajo,bajo,alto
267,7,3,5,10,12,16,8,28,19,8.7,alto,alto,alto
268,7,4,8,6,9,13,5,3,19,8.1,medio,medio,alto
269,6,4,12,13,7,21,9,8,7,8.6,medio,medio,alto
270,7,3,10,6,0,17,3,10,9,7.3,bajo,bajo,medio
271,5,1,5,9,10,4,8,0,19,5.0,medio,alto,alto
272,5,4,4,9,11,8,5,1,16,6.7,bajo,bajo,medio
273,5,1,6,6,7,13,11,6,18,5.1,medio,alto,alto
274,4,2,3,8,3,15,13,4,5,5.2,medio,alto,alto
275,9,3,7,3,3,12,8,18,4,8.3,medio,medio,alto
276,6,1,6,8,6,18,5,15,2,6.5,bajo,bajo,medio
277,4,3,6,14,3,7,1,13,11,5.3,medio,medio,alto
278,5,1,8,0,0,24,14,3,6,4.5,medio,alto,alto
279,4,3,2,7,11,5,3,26,3,5.1,medio,alto,alto
280,5,4,6,0,9,1,14,4,14,4.4,medio,alto,alto
281,4,1,11,12,10,18,0,8,13,5.4,bajo,medio,medio
282,3,2,11,19,3,13,15,30,18,5.0,alto,alto,alto
283,4,1,10,14,6,8,3,19,15,4.8,medio,alto,alto
284,4,2,12,3,8,20,4,11,5,4.9,bajo,medio,medio
285,8,2,6,12,0,10,12,27,14,8.0,alto,alto,alto
286,5,5,10,14,7,14,13,3,7,7.8,medio,medio,alto
287,5,4,6,9,9,5,7,2,5,6.1,bajo,bajo,medio
288,7,5,4,10,3,24,11,30,14,9.4,alto,alto,alto
289,8,1,10,7,4,11,11,19,0,6.9,medio,medio,alto
290,5,6,9,14,0,8,12,28,17,7.3,alto,alto,alto
291,5,2,11,3,4,4,15,26,18,4.4,alto,alto,alto
292,7,1,10,8,1,6,2,11,6,5.6,bajo,medio,medio
293,6,4,10,16,9,4,3,10,3,7.4,bajo,bajo,medio
294,7,3,10,5,3,18,0,16,12,7.5,bajo,bajo,medio
295,6,1,4,3,5,0,14,18,6,4.6,medio,alto,alto
296,6,4,7,4,0,7,12,1,18,5.8,medio,alto,alto
297,8,5,11,11,0,12,2,3,2,9.0,bajo,bajo,medio
298,6,7,5,8,6,11,7,13,8,8.7,medio,medio,alto
299,10,1,10,4,2,15,7,0,19,8.4,bajo,bajo,alto
300,6,4,7,13,7,13,12,15,11,8.1,medio,medio,alto
301,9,4,12,7,12,13,10,4,16,9.3,medio,medio,alto
302,6,2,2,13,7,9,5,12,3,7.0,bajo,bajo,medio
303,7,2,8,11,0,5,9,6,18,6.3,medio,medio,alto
304,8,2,3,11,5,23,2,4,10,9.3,bajo,bajo,medio
305,7,1,9,12,4,3,3,19,13,5.9,medio,alto,alto
306,8,2,10,6,0,10,3,5,16,6.9,bajo,bajo,medio
307,7,8,4,6,1,8,1,16,8,9.0,bajo,bajo,alto
308,4,7,7,6,5,21,4,8,9,7.8,bajo,bajo,medio
309,6,3,7,12,1,17,9,14,17,7.6,medio,alto,alto
310,6,6,9,7,1,9,5,5,2,7.4,bajo,bajo,medio
311,8,2,5,16,0,11,4,4,5,8.5,bajo,bajo,medio
312,6,5,9,18,7,10,0,18,18,8.6,medio,medio,alto
313,6,4,13,9,5,13,9,21,17,7.1,alto,alto,alto
314,7,5,7,14,3,15,7,27,12,9.1,alto,alto,alto
315,8,4,12,13,2,8,7,28,0,8.5,medio,medio,alto
316,8,2,6,6,13,13,15,13,1,8.3,medio,medio,alto
317,5,2,13,7,2,1,13,13,20,4.5,alto,alto,alto
318,5,6,7,14,2,14,5,15,4,8.2,medio,bajo,alto
319,7,2,8,12,5,15,0,14,20,7.9,medio,medio,alto
320,8,4,6,8,2,8,9,20,3,8.4,medio,medio,alto
321,7,3,5,14,13,7,5,30,14,8.4,alto,alto,alto
322,5,2,5,2,3,3,2,26,17,4.4,alto,alto,alto
323,6,4,5,6,4,9,11,28,19,6.7,alto,alto,alto
324,6,3,3,3,0,0,12,27,1,4.9,alto,alto,alto
325,5,2,5,0,5,6,0,28,20,4.3,alto,alto,alto
326,6,5,8,0,5,0,4,9,10,4.7,bajo,medio,medio
327,8,2,10,10,2,17,3,14,18,8.3,medio,medio,alto
328,7,2,8,3,7,12,7,21,12,6.3,medio,medio,alto
329,3,2,9,3,1,11,13,4,10,4.2,medio,alto,alto
330,8,1,11,14,1,0,15,4,13,6.3,medio,alto,alto
331,5,2,8,14,0,15,0,28,15,6.1,alto,alto,alto
332,4,6,9,2,3,16,8,2,17,5.7,medio,alto,alto
333,8,3,6,8,1,0,9,5,2,7.0,bajo,bajo,medio
334,7,3,10,11,6,14,3,16,3,8.1,bajo,bajo,alto
335,4,6,9,13,8,21,14,27,3,8.2,alto,alto,alto
336,5,1,7,12,8,1,3,4,19,4.9,medio,alto,alto
337,6,3,10,10,8,32,0,7,1,8.9,bajo,bajo,medio
338,10,4,10,3,0,13,12,2,16,9.0,medio,medio,alto
339,7,6,12,6,2,0,2,23,4,7.0,medio,medio,alto
340,10,4,8,11,9,10,5,6,5,9.7,bajo,bajo,medio
341,3,1,6,10,2,5,8,21,15,4.3,alto,alto,alto
342,7,6,3,7,9,13,13,25,5,9.2,alto,alto,alto
343,7,5,8,10,0,1,5,21,1,7.3,medio,medio,alto
344,8,3,10,6,3,10,9,3,9,7.6,bajo,bajo,medio
345,3,6,6,1,3,8,0,14,6,4.6,bajo,medio,medio
346,4,1,10,8,6,5,0,14,3,4.4,bajo,medio,medio
347,6,4,10,3,0,16,13,16,16,6.3,alto,alto,alto
348,7,1,9,6,1,4,2,22,4,5.2,medio,medio,alto
349,6,1,7,7,10,14,10,28,11,6.2,alto,alto,alto
350,5,5,7,4,2,22,12,19,11,7.2,alto,alto,alto
351,5,5,3,8,4,29,3,8,10,8.8,bajo,bajo,alto
352,6,6,2,15,12,16,1,0,2,9.5,bajo,bajo,medio
353,6,3,13,13,2,4,2,25,3,5.9,medio,medio,alto
354,6,3,7,12,6,2,15,0,13,6.2,medio,alto,alto
355,9,3,4,3,11,14,0,13,1,9.0,bajo,bajo,medio
356,4,3,7,0,6,10,9,5,11,4.3,medio,alto,alto
357,9,2,5,2,3,12,13,14,16,7.7,medio,alto,alto
358,4,6,4,16,8,5,14,21,7,7.1,alto,alto,alto
359,8,5,6,14,10,11,7,11,8,9.5,bajo,bajo,alto
360,4,1,5,12,5,3,11,18,12,4.6,alto,alto,alto
361,8,6,11,15,1,18,8,7,15,9.6,medio,medio,alto
362,2,1,4,10,5,3,10,10,10,4.2,medio,alto,alto
363,5,4,10,12,5,21,12,8,17,7.7,medio,alto,alto
364,4,4,8,1,10,10,12,18,0,4.7,medio,alto,alto
365,5,5,11,6,6,12,13,5,16,6.4,medio,alto,alto
366,3,2,9,21,2,1,2,23,11,4.5,medio,alto,alto
367,8,2,11,12,4,11,14,27,10,8.0,alto,alto,alto
368,5,3,14,5,11,14,3,28,9,5.7,medio,alto,alto
369,8,4,1,10,0,3,12,29,0,8.3,medio,medio,alto
370,7,3,9,3,0,0,1,7,15,5.2,bajo,medio,medio
371,6,4,3,5,13,21,15,7,8,8.5,medio,medio,alto
372,8,1,11,2,4,13,1,9,11,6.1,bajo,bajo,medio
373,4,1,13,2,6,3,0,11,16,4.1,medio,alto,alto
374,4,3,7,18,13,17,12,11,19,7.3,alto,alto,alto
375,7,1,7,6,4,4,2,20,17,5.5,medio,alto,alto
376,6,7,9,1,5,17,6,16,15,7.8,medio,medio,alto
377,1,1,6,11,4,7,1,10,0,4.1,bajo,medio,medio
378,4,4,9,1,7,19,2,3,17,5.1,bajo,medio,medio
379,8,8,7,16,3,0,3,18,16,9.5,medio,medio,alto
380,7,2,5,5,11,2,14,28,16,6.1,alto,alto,alto
381,3,3,4,10,3,11,8,26,19,4.9,alto,alto,alto
382,2,4,10,8,9,5,15,10,15,4.4,alto,alto,alto
383,5,4,8,11,3,4,3,15,14,5.8,medio,alto,alto
384,6,6,10,15,7,10,4,8,11,8.7,bajo,bajo,alto
385,6,5,4,0,0,20,14,17,0,6.2,medio,medio,alto
386,7,1,14,0,0,7,14,9,19,4.4,alto,alto,alto
387,7,4,8,4,10,5,14,17,17,7.0,alto,alto,alto
388,8,5,4,17,5,6,6,15,14,9.4,medio,medio,alto
389,8,4,8,7,8,11,7,20,20,8.7,alto,alto,alto
390,8,4,11,11,1,9,4,21,11,8.4,medio,medio,alto
391,6,3,8,5,5,7,3,11,16,5.7,medio,alto,alto
392,7,3,8,0,10,13,2,24,12,5.8,medio,alto,alto
393,5,3,11,14,0,1,5,24,10,5.1,medio,alto,alto
394,3,4,1,18,2,22,11,11,7,7.1,medio,medio,alto
395,5,4,15,5,0,18,3,1,13,5.8,bajo,medio,medio
396,7,3,10,12,5,3,0,25,15,6.9,medio,medio,alto
397,6,3,8,9,4,19,3,24,18,7.6,alto,alto,alto
398,6,6,9,7,5,3,0,27,8,7.0,medio,medio,alto
399,8,1,1,3,0,11,5,16,19,6.5,medio,medio,alto
400,5,4,8,9,5,18,2,23,3,7.2,medio,medio,alto
