id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
386,7,1,6,6,4,15,3,19,14
387,5,4,5,10,5,3,10,9,11
388,4,2,8,0,5,5,14,7,7
389,6,5,7,1,8,11,6,13,8
390,9,2,11,11,3,20,10,11,19
391,10,5,6,8,1,9,15,22,14
392,7,7,4,16,10,9,10,17,13
393,6,1,7,4,8,9,9,28,19
394,5,4,12,8,0,9,12,16,5
395,2,4,10,8,3,12,1,9,0
396,5,1,4,9,6,7,5,16,11
397,5,6,5,3,1,0,6,13,12
398,5,3,7,2,4,4,10,3,1
399,9,7,8,2,8,7,3,5,20
400,8,5,7,14,14,13,6,28,12
