id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
386,8,3,3,7,0,0,0,24,19
387,7,4,12,18,5,5,6,16,7
388,4,4,9,4,12,10,3,17,20
389,9,4,7,16,10,15,11,5,0
390,4,3,8,1,9,25,5,22,6
391,7,4,3,2,5,2,3,29,2
392,7,1,5,11,7,3,12,17,13
393,6,4,8,7,0,12,15,13,13
394,5,5,5,5,2,0,0,11,6
395,4,1,12,16,6,0,0,30,1
396,2,6,10,9,0,15,5,16,18
397,8,4,12,7,8,21,8,16,2
398,7,4,15,15,6,15,10,0,18
399,9,6,3,9,0,11,4,24,13
400,5,4,2,7,2,7,11,25,7
