id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
43,1,3,12,5,0,4,14,15,15,4.0,alto,alto,alto
44,4,1,10,12,0,4,6,17,15,4.3,alto,alto,alto
45,7,2,8,11,3,7,15,11,1,7.0,medio,medio,alto
46,5,2,5,0,8,1,15,21,9,4.2,alto,alto,alto
47,7,8,8,7,6,6,14,17,5,9.3,medio,medio,alto
48,8,1,8,19,5,3,9,27,17,8.0,alto,alto,alto
49,3,4,7,10,2,10,10,1,6,4.9,bajo,medio,medio
50,5,6,10,6,3,5,15,26,1,6.1,alto,alto,alto
51,6,5,7,4,4,5,9,4,18,6.4,medio,medio,alto
52,6,4,8,13,2,35,4,30,3,9.6,medio,medio,alto
53,4,5,8,5,9,1,1,27,13,4.9,alto,alto,alto
54,7,5,12,4,2,1,7,11,10,6.4,medio,medio,alto
55,7,7,12,15,11,4,1,4,9,9.4,bajo,bajo,medio
56,7,3,11,11,8,0,13,10,18,6.8,alto,alto,alto
57,3,5,5,9,5,0,10,16,17,4.7,alto,alto,alto
58,3,3,5,0,12,9,9,11,3,4.2,medio,alto,alto
59,10,3,6,7,3,10,10,9,6,9.5,bajo,bajo,alto
60,8,4,9,10,0,4,1,27,2,8.2,medio,bajo,alto
61,5,4,6,5,3,16,12,5,8,6.5,medio,medio,alto
62,7,2,8,7,0,32,7,27,15,9.0,alto,alto,alto
63,5,5,8,6,9,7,12,14,9,6.4,medio,alto,alto
64,4,6,6,4,7,0,0,30,8,5.0,medio,alto,alto
65,6,3,5,4,8,18,14,20,9,7.4,alto,alto,alto
66,7,6,5,12,10,0,2,18,10,9.0,medio,bajo,alto
67,2,2,15,11,3,2,8,6,15,4.1,medio,alto,alto
68,9,3,9,16,8,0,10,2,2,9.1,bajo,bajo,medio
69,9,1,3,13,3,23,12,21,6,9.6,medio,medio,alto
70,10,2,9,5,8,11,7,18,10,9.2,medio,medio,alto
71,10,1,9,15,3,19,4,13,4,9.7,bajo,bajo,alto
72,5,5,9,3,0,2,12,1,7,4.8,bajo,medio,medio
73,2,3,13,11,7,0,4,15,17,4.2,alto,alto,alto
74,8,5,12,3,0,12,15,20,16,8.3,alto,alto,alto
75,6,1,9,12,0,5,2,15,3,5.2,bajo,medio,medio
76,3,1,11,11,3,7,11,7,16,4.2,medio,alto,alto
77,6,5,10,11,0,10,0,16,8,7.7,bajo,bajo,medio
78,6,3,6,6,10,21,10,25,19,8.2,alto,alto,alto
79,4,4,5,10,8,16,10,30,6,6.8,alto,alto,alto
80,5,5,5,8,11,2,4,8,19,6.5,medio,medio,alto
81,8,4,4,15,7,7,3,12,3,9.4,bajo,bajo,medio
82,4,2,6,20,5,7,10,18,8,5.5,medio,alto,alto
83,7,4,10,6,5,10,2,13,1,7.7,bajo,bajo,medio
84,6,4,9,4,9,8,0,4,1,6.4,bajo,bajo,bajo
85,8,5,2,6,9,20,15,25,11,9.7,alto,alto,alto
86,10,2,10,8,0,20,8,17,4,9.6,bajo,bajo,alto
87,4,2,7,14,5,17,13,0,7,5.9,medio,alto,alto
88,6,3,4,11,8,4,5,10,10,6.9,medio,medio,alto
89,8,5,8,6,4,5,0,27,18,8.6,medio,medio,alto
90,6,1,5,2,4,7,14,22,2,4.7,medio,alto,alto
91,5,1,9,7,3,3,7,23,6,4.4,medio,alto,alto
92,8,5,10,8,3,12,12,22,18,9.2,alto,alto,alto
93,8,3,5,5,0,12,12,6,20,8.1,medio,medio,alto
94,10,1,10,10,6,0,14,9,19,8.3,medio,medio,alto
95,7,4,5,5,3,22,1,30,11,9.0,medio,medio,alto
96,9,3,7,5,7,13,3,11,0,9.2,bajo,bajo,medio
97,8,2,4,9,4,15,4,26,14,8.8,medio,medio,alto
98,4,1,13,15,4,10,10,17,0,4.7,medio,alto,alto
99,6,1,7,14,6,23,12,17,5,8.1,medio,medio,alto
100,4,1,5,5,2,19,9,29,12,4.7,alto,alto,alto
101,6,3,9,5,0,0,6,16,5,4.9,medio,alto,alto
102,4,3,6,3,6,10,9,1,18,4.6,medio,alto,alto
103,7,2,4,1,0,9,5,2,16,5.3,bajo,medio,medio
104,4,1,8,7,0,4,15,1,14,4.2,medio,alto,alto
105,5,2,13,2,0,0,12,6,5,4.2,medio,alto,alto
106,7,4,8,14,2,5,8,1,16,8.2,bajo,bajo,alto
107,5,3,8,10,9,5,6,8,12,5.7,medio,alto,alto
108,9,4,1,16,5,16,0,16,4,9.9,bajo,bajo,alto
109,5,1,4,1,13,23,15,8,8,5.5,medio,alto,alto
110,8,9,11,3,1,19,4,30,11,9.8,medio,medio,alto
111,5,6,6,8,11,13,0,11,19,8.3,medio,medio,alto
112,5,3,9,6,5,8,10,10,15,5.2,medio,alto,alto
113,5,1,11,2,6,11,1,20,8,4.4,medio,medio,alto
114,5,5,5,11,6,5,6,24,4,7.0,medio,medio,alto
115,1,6,8,4,8,12,6,22,12,4.4,alto,alto,alto
116,8,3,3,8,8,10,12,27,16,8.9,alto,alto,alto
117,7,7,12,0,7,5,1,5,17,6.6,bajo,bajo,medio
118,5,2,8,12,4,4,13,2,5,5.1,bajo,medio,medio
119,7,4,9,9,0,18,6,19,19,8.7,alto,alto,alto
120,7,6,12,12,0,7,7,25,9,8.7,medio,medio,alto
121,6,1,7,0,7,22,8,29,1,5.0,medio,alto,alto
122,6,3,10,8,9,12,7,8,10,7.1,medio,medio,alto
123,7,5,9,18,5,20,11,8,15,9.7,medio,medio,alto
124,7,2,5,9,6,0,6,0,2,6.3,bajo,bajo,bajo
125,6,1,6,5,0,0,10,29,8,4.5,alto,alto,alto
126,6,4,6,13,4,2,11,18,9,7.0,medio,alto,alto
127,5,2,9,17,0,26,6,7,2,7.8,bajo,bajo,medio
128,9,1,6,4,1,13,10,7,9,7.9,bajo,bajo,medio
129,6,7,8,10,3,0,10,11,10,7.9,medio,medio,alto
130,2,2,9,10,3,2,0,8,8,4.1,bajo,medio,medio
131,5,3,12,3,12,22,13,27,19,6.4,alto,alto,alto
132,7,3,13,1,2,9,3,9,17,5.4,medio,alto,alto
133,8,5,6,9,6,2,1,10,17,8.9,bajo,bajo,alto
134,7,1,8,6,6,11,12,19,16,6.3,alto,alto,alto
135,6,1,5,6,12,22,10,8,0,7.4,bajo,bajo,medio
136,7,7,12,0,10,12,0,4,10,7.7,bajo,bajo,medio
137,4,3,5,9,0,17,10,15,13,5.6,alto,alto,alto
138,4,1,3,0,7,6,7,19,12,4.1,alto,alto,alto
139,7,4,5,3,11,9,14,8,15,7.8,medio,alto,alto
140,6,5,4,10,5,2,12,10,13,7.4,medio,alto,alto
141,8,7,4,14,0,15,12,3,10,9.8,bajo,bajo,alto
142,4,1,2,21,3,0,14,4,2,4.7,medio,alto,alto
143,7,5,7,0,3,15,11,21,7,6.7,medio,medio,alto
144,7,3,4,8,4,8,5,3,16,7.6,bajo,bajo,medio
145,5,5,8,8,0,16,7,1,7,7.2,bajo,bajo,medio
146,6,4,4,11,4,2,11,9,6,6.9,medio,medio,alto
147,9,2,5,12,1,14,0,9,2,9.3,bajo,bajo,medio
148,5,4,7,5,7,0,14,16,10,5.0,alto,alto,alto
149,6,1,8,0,7,9,13,25,13,4.3,alto,alto,alto
150,6,7,6,9,7,3,9,26,16,8.5,alto,alto,alto
151,8,2,6,4,3,0,8,13,19,6.0,medio,alto,alto
152,6,4,9,15,4,16,11,8,4,8.6,medio,medio,alto
153,5,1,13,6,2,9,14,8,4,4.5,medio,alto,alto
154,5,1,4,4,4,5,6,19,6,4.5,medio,alto,alto
155,7,6,7,8,7,24,0,13,18,9.7,medio,medio,alto
156,7,2,10,9,5,14,3,13,7,7.6,bajo,bajo,medio
157,6,3,7,6,4,15,6,9,12,6.9,medio,medio,alto
158,9,4,5,10,2,1,5,13,14,9.0,medio,medio,alto
159,6,3,4,2,8,3,8,20,16,5.2,alto,alto,alto
160,6,1,4,4,4,13,15,1,17,5.5,medio,alto,alto
161,7,6,4,7,5,0,11,8,3,8.2,bajo,bajo,alto
162,7,3,7,6,6,15,15,2,18,8.1,medio,medio,alto
163,5,5,5,11,0,16,8,20,20,7.9,alto,alto,alto
164,6,1,9,13,3,8,13,23,14,5.8,alto,alto,alto
165,9,3,8,2,2,19,2,25,12,8.9,medio,medio,alto
166,3,1,3,4,4,19,12,13,10,4.4,alto,alto,alto
167,4,5,14,11,5,19,12,0,12,7.0,medio,medio,alto
168,6,4,13,10,9,31,9,22,5,9.4,medio,medio,alto
169,8,7,7,3,6,7,14,29,12,9.2,alto,alto,alto
170,7,6,7,11,12,10,5,21,19,9.5,alto,alto,alto
171,8,3,7,7,4,12,10,25,15,8.6,alto,alto,alto
172,5,3,12,6,3,17,5,25,16,5.8,alto,alto,alto
173,6,4,4,8,2,14,11,5,4,7.8,bajo,bajo,medio
174,3,5,6,8,0,3,13,12,2,4.6,medio,alto,alto
175,6,5,6,3,3,0,11,6,0,5.6,bajo,medio,medio
176,9,7,12,6,5,0,13,5,18,9.3,medio,medio,alto
177,6,3,8,0,0,19,4,7,11,5.1,bajo,medio,medio
178,7,3,3,16,0,12,11,3,6,8.8,bajo,bajo,medio
179,9,5,3,13,4,8,7,8,0,9.7,bajo,bajo,medio
180,6,7,6,0,6,5,5,3,0,6.0,bajo,bajo,bajo
181,7,3,2,4,7,5,10,21,10,6.8,medio,alto,alto
182,3,5,10,4,3,8,11,16,4,4.5,medio,alto,alto
183,6,3,9,10,10,26,9,10,3,9.0,bajo,bajo,alto
184,7,6,7,21,11,9,1,9,0,9.7,bajo,bajo,medio
185,6,1,9,13,8,10,12,27,18,6.4,alto,alto,alto
186,10,1,13,12,2,22,15,21,10,9.6,alto,alto,alto
187,4,3,15,6,5,26,14,28,9,5.9,alto,alto,alto
188,7,2,5,11,7,0,1,14,3,6.6,bajo,bajo,medio
189,6,4,4,8,5,14,7,18,4,8.0,medio,medio,alto
190,2,6,7,18,1,4,1,1,16,5.1,bajo,medio,medio
191,8,3,8,5,6,8,3,13,9,7.9,bajo,bajo,medio
192,7,4,6,6,6,11,9,8,20,8.2,medio,medio,alto
193,4,9,6,9,2,14,14,28,20,8.6,alto,alto,alto
194,8,4,4,9,6,9,6,2,15,9.1,bajo,bajo,alto
195,5,2,5,5,10,7,11,8,1,5.1,bajo,medio,medio
196,7,5,1,9,10,12,7,26,14,9.4,alto,alto,alto
197,8,1,9,14,7,0,2,9,4,7.1,bajo,bajo,medio
198,2,1,6,2,2,12,11,22,14,4.1,alto,alto,alto
199,7,2,11,0,0,9,10,28,18,4.6,alto,alto,alto
200,5,2,7,7,7,12,3,10,1,5.5,bajo,bajo,medio
201,4,1,8,3,3,18,3,27,2,4.5,medio,alto,alto
202,5,3,4,7,8,0,10,1,15,5.1,medio,alto,alto
203,7,4,11,6,3,10,9,0,11,7.5,bajo,bajo,medio
204,7,2,12,6,0,15,14,24,11,6.7,alto,alto,alto
205,7,2,8,4,3,21,5,7,12,7.5,bajo,bajo,medio
206,7,3,4,4,0,14,8,28,6,7.3,medio,medio,alto
207,7,3,7,10,6,6,1,19,10,7.6,medio,medio,alto
208,5,6,8,11,7,19,14,13,5,8.9,medio,medio,alto
209,8,5,9,4,11,0,0,22,0,8.1,bajo,bajo,alto
210,7,3,9,0,7,18,5,29,14,6.1,alto,alto,alto
211,7,4,10,17,3,0,9,16,13,7.8,medio,medio,alto
212,6,5,5,0,0,15,3,18,3,5.7,bajo,medio,alto
213,7,4,8,6,0,4,7,24,0,6.7,medio,medio,alto
214,8,5,10,7,6,11,5,18,0,9.2,bajo,bajo,alto
215,10,7,7,0,5,3,7,13,17,9.1,medio,medio,alto
216,6,2,4,0,6,4,12,9,2,4.4,medio,alto,alto
217,3,4,5,16,5,26,2,11,2,7.6,bajo,bajo,medio
218,5,4,5,10,0,2,3,7,0,5.5,bajo,bajo,bajo
219,7,3,4,9,2,15,5,30,2,8.4,medio,medio,alto
220,9,4,10,15,6,14,12,14,9,9.8,medio,medio,alto
221,8,5,10,16,5,16,13,6,12,9.7,medio,medio,alto
222,9,7,9,5,2,15,10,30,20,9.8,alto,alto,alto
223,4,5,7,11,5,16,13,5,13,7.1,medio,alto,alto
224,4,8,10,6,3,7,11,23,4,6.5,alto,alto,alto
225,8,3,13,6,5,3,3,21,11,7.0,medio,medio,alto
226,5,2,8,0,16,20,10,21,1,5.0,medio,alto,alto
227,5,2,9,9,3,1,8,8,13,4.6,medio,alto,alto
228,9,2,8,0,0,0,11,16,10,5.1,medio,alto,alto
229,9,5,9,0,0,10,1,28,17,7.7,medio,medio,alto
230,6,2,15,13,2,10,1,26,18,6.0,alto,alto,alto
231,8,4,4,8,1,10,8,9,14,8.9,medio,medio,alto
232,6,1,10,9,1,6,3,15,5,5.0,bajo,medio,medio
233,6,4,9,5,9,23,12,27,19,8.5,alto,alto,alto
234,5,1,6,0,0,7,7,29,11,4.1,alto,alto,alto
235,5,3,6,9,0,14,13,14,10,6.1,medio,alto,alto
236,10,1,7,12,7,0,0,24,3,8.8,bajo,bajo,alto
237,8,2,9,10,9,16,3,21,7,9.0,medio,bajo,alto
238,4,5,9,12,1,2,6,22,18,5.2,alto,alto,alto
239,5,1,12,13,8,13,5,22,8,5.6,medio,alto,alto
240,6,3,2,9,6,0,0,21,8,6.1,medio,medio,alto
241,3,2,12,2,5,0,0,16,0,4.1,bajo,medio,medio
242,5,3,10,23,5,15,8,7,12,7.7,medio,medio,alto
243,10,1,3,13,0,15,4,30,7,9.6,medio,medio,alto
244,9,7,5,0,0,8,0,22,15,8.7,medio,medio,alto
245,5,4,5,1,4,0,2,17,6,4.5,medio,medio,alto
246,6,6,10,2,2,7,4,14,18,6.3,medio,medio,alto
247,7,2,9,11,9,18,14,1,17,8.6,medio,medio,alto
248,8,4,6,9,4,15,3,18,6,9.3,bajo,bajo,alto
249,3,6,8,16,7,23,5,3,0,8.3,bajo,bajo,medio
250,7,4,10,8,6,20,15,7,10,9.0,medio,medio,alto
251,4,7,8,0,6,5,12,3,17,4.6,medio,alto,alto
252,4,3,1,14,0,8,2,19,19,5.5,alto,alto,alto
253,10,5,3,3,9,14,11,10,17,9.8,medio,medio,alto
254,4,3,6,10,9,5,3,25,18,5.1,alto,alto,alto
255,6,3,9,17,6,17,14,26,15,8.6,alto,alto,alto
256,7,1,5,5,0,9,2,6,20,5.7,medio,alto,alto
257,4,4,5,13,4,0,6,4,9,5.1,bajo,medio,medio
258,4,2,9,2,3,18,11,25,13,4.5,alto,alto,alto
259,6,5,4,4,1,6,8,11,4,6.5,bajo,bajo,medio
260,9,4,2,12,11,24,7,15,5,9.9,bajo,bajo,alto
261,5,6,8,7,1,18,2,10,10,7.9,bajo,bajo,medio
262,7,2,8,10,5,4,0,22,11,6.6,medio,medio,alto
263,6,5,7,13,2,10,13,27,9,8.3,alto,alto,alto
264,10,6,6,2,5,0,10,17,2,9.3,bajo,bajo,alto
265,7,1,11,8,0,14,5,15,17,6.4,medio,medio,alto
266,4,1,10,14,9,4,4,20,0,4.6,medio,medio,alto
267,8,4,8,9,2,15,4,26,13,9.2,medio,medio,alto
268,5,1,6,13,2,12,2,19,1,5.5,bajo,medio,alto
269,5,1,2,5,3,12,0,0,3,4.9,bajo,bajo,bajo
270,7,3,1,13,5,12,15,22,5,8.9,alto,alto,alto
271,7,4,8,3,3,0,6,2,19,5.8,medio,alto,alto
272,2,6,12,6,8,14,10,12,4,4.9,medio,alto,alto
273,6,4,11,14,4,18,2,26,20,8.6,alto,alto,alto
274,6,2,10,4,0,17,8,6,17,5.7,medio,alto,alto
275,3,3,6,2,8,2,3,13,17,4.2,medio,alto,alto
276,8,4,1,6,6,7,14,24,8,8.8,alto,alto,alto
277,7,2,10,10,6,17,14,8,12,8.2,medio,medio,alto
278,9,3,9,0,3,3,1,18,5,5.9,bajo,medio,alto
279,4,9,9,8,2,14,13,25,12,8.3,alto,alto,alto
280,1,3,6,10,2,7,5,24,13,4.1,alto,alto,alto
281,8,4,11,15,11,1,0,30,1,8.9,medio,bajo,alto
282,3,5,10,15,3,4,6,7,16,5.1,medio,alto,alto
283,2,6,10,7,10,19,7,22,18,5.7,alto,alto,alto
284,4,4,11,4,1,10,3,24,16,4.7,alto,alto,alto
285,6,1,8,0,6,8,0,7,10,4.3,bajo,medio,medio
286,1,4,10,5,0,25,14,7,1,4.4,medio,alto,alto
287,4,3,3,3,9,7,1,28,9,4.7,medio,alto,alto
288,8,4,6,9,1,10,3,18,17,8.9,medio,medio,alto
289,2,6,9,3,7,24,0,27,13,5.4,alto,alto,alto
290,7,2,6,10,9,18,0,30,15,8.7,alto,medio,alto
291,2,4,11,2,6,0,15,17,20,4.1,alto,alto,alto
292,8,2,13,13,7,19,6,25,19,9.2,alto,alto,alto
293,5,2,11,11,1,0,9,5,20,4.6,medio,alto,alto
294,7,3,3,8,10,0,7,2,18,7.1,medio,medio,alto
295,7,5,4,18,6,20,10,27,20,9.8,alto,alto,alto
296,4,2,6,16,6,0,10,4,0,4.7,bajo,medio,medio
297,5,1,5,0,4,10,6,13,16,4.2,medio,alto,alto
298,5,4,7,9,3,4,10,28,11,5.6,alto,alto,alto
299,3,5,5,15,9,14,8,12,12,6.9,medio,medio,alto
300,3,5,6,8,9,6,0,13,3,5.1,bajo,medio,medio
301,9,6,7,12,0,6,1,13,15,9.7,bajo,bajo,alto
302,8,6,13,10,7,19,0,7,13,9.8,bajo,bajo,medio
303,9,5,6,0,5,16,13,26,3,8.8,medio,medio,alto
304,5,2,7,4,4,18,2,22,15,5.5,medio,alto,alto
305,2,8,9,8,4,7,15,0,10,5.3,medio,alto,alto
306,8,1,7,1,7,6,0,21,4,5.6,bajo,medio,alto
307,6,5,4,0,7,7,12,10,16,5.4,medio,alto,alto
308,5,2,3,4,7,19,13,27,3,6.0,alto,alto,alto
309,3,7,5,5,3,3,0,8,19,5.0,medio,alto,alto
310,8,7,7,5,7,0,12,27,0,9.0,medio,medio,alto
311,5,4,7,0,3,0,2,17,12,4.2,medio,alto,alto
312,6,1,12,10,4,12,13,14,8,5.7,medio,alto,alto
313,5,2,6,8,4,17,14,6,0,6.1,bajo,medio,medio
314,8,5,3,18,0,0,14,17,13,9.2,alto,alto,alto
315,2,1,8,12,0,14,6,12,11,4.2,medio,alto,alto
316,9,2,10,14,6,11,11,26,10,9.3,alto,alto,alto
317,8,1,9,3,3,21,13,14,9,7.6,medio,medio,alto
318,7,6,12,15,8,18,7,13,2,9.7,bajo,bajo,alto
319,6,6,4,3,5,13,5,2,1,8.1,bajo,bajo,medio
320,8,5,14,6,5,12,9,1,8,8.9,bajo,bajo,medio
321,7,3,4,7,8,16,0,14,3,8.6,bajo,bajo,medio
322,8,1,5,9,4,25,7,18,13,9.2,medio,medio,alto
323,10,3,8,5,6,30,15,22,12,9.9,alto,alto,alto
324,5,4,2,3,4,3,1,12,5,5.0,bajo,medio,medio
325,2,5,7,14,6,17,7,4,5,5.8,bajo,medio,medio
326,9,2,6,13,2,14,4,3,3,9.4,bajo,bajo,medio
327,6,3,10,7,8,0,2,1,8,5.4,bajo,bajo,bajo
328,1,4,3,11,3,9,3,29,18,4.3,alto,alto,alto
329,7,4,7,7,0,0,8,27,7,6.5,medio,medio,alto
330,8,2,13,1,0,5,6,11,12,5.2,medio,alto,alto
331,5,2,4,2,3,11,15,23,16,4.7,alto,alto,alto
332,8,4,11,0,5,0,3,6,0,5.3,bajo,bajo,bajo
333,3,4,6,13,6,8,3,24,16,5.2,alto,alto,alto
334,4,6,13,11,8,10,14,27,11,6.7,alto,alto,alto
335,6,4,5,11,9,15,8,18,19,8.7,alto,alto,alto
336,8,8,10,7,14,29,10,0,4,10.0,bajo,bajo,medio
337,9,3,9,11,10,1,5,12,3,8.9,bajo,bajo,alto
338,8,3,12,13,3,0,3,6,2,7.6,bajo,bajo,bajo
339,6,4,6,5,6,0,4,27,20,5.7,alto,alto,alto
340,6,6,3,3,0,5,10,29,13,6.7,alto,alto,alto
341,5,5,6,9,0,18,8,13,20,7.8,alto,alto,alto
342,6,8,2,12,5,13,2,27,18,9.6,alto,alto,alto
343,6,5,7,8,0,7,7,19,3,7.1,medio,medio,alto
344,7,5,11,4,6,0,2,27,14,6.6,medio,medio,alto
345,5,5,12,10,0,21,15,6,6,7.8,medio,medio,alto
346,5,5,7,2,0,7,12,19,17,5.1,alto,alto,alto
347,9,7,11,13,5,9,14,15,12,9.8,medio,medio,alto
348,8,2,1,2,9,0,0,1,4,6.3,bajo,bajo,bajo
349,8,4,3,3,3,13,4,17,14,8.6,medio,medio,alto
350,6,3,2,11,8,20,10,2,6,8.8,bajo,bajo,medio
351,5,5,10,17,3,4,9,13,9,7.0,medio,medio,alto
352,4,3,6,11,1,11,3,5,2,5.3,bajo,bajo,bajo
353,5,2,6,7,6,0,1,28,6,4.6,medio,alto,alto
354,6,5,6,3,1,10,3,29,13,6.6,alto,alto,alto
355,7,3,8,0,7,1,4,17,6,4.7,medio,medio,alto
356,9,3,7,0,3,5,5,2,4,6.3,bajo,bajo,bajo
357,2,5,9,8,12,10,6,12,2,4.8,medio,alto,alto
358,10,2,9,11,3,19,3,8,1,9.7,bajo,bajo,medio
359,5,5,9,0,8,14,15,6,1,5.1,medio,alto,alto
360,6,2,6,12,8,13,10,10,12,7.4,medio,medio,alto
361,6,5,5,8,4,19,9,16,12,8.9,medio,medio,alto
362,10,7,4,9,7,9,12,20,14,9.9,alto,alto,alto
363,5,3,8,7,15,1,8,0,17,5.3,medio,alto,alto
364,6,3,10,3,7,14,14,4,6,6.2,medio,medio,alto
365,4,8,3,10,8,16,11,20,10,8.9,alto,alto,alto
366,4,5,2,9,7,6,3,15,10,6.1,medio,medio,alto
367,4,4,7,10,5,5,9,2,7,5.2,bajo,medio,medio
368,3,6,10,0,1,25,5,9,14,4.8,medio,alto,alto
369,3,4,6,7,2,18,8,20,18,5.2,alto,alto,alto
370,4,6,6,1,3,11,6,8,12,5.1,medio,alto,alto
371,5,1,10,5,0,10,15,4,19,4.5,alto,alto,alto
372,8,1,9,17,5,0,8,20,3,7.3,medio,medio,alto
373,7,1,11,11,6,7,13,11,2,6.4,medio,medio,alto
374,5,6,6,7,8,23,8,20,9,9.0,medio,medio,alto
375,7,1,6,15,0,23,15,4,4,8.7,bajo,bajo,alto
376,7,3,9,10,7,9,5,9,18,7.9,medio,medio,alto
377,7,3,9,6,4,0,2,3,5,5.9,bajo,bajo,bajo
378,7,3,3,2,3,23,0,14,18,8.2,medio,medio,alto
379,6,7,14,6,3,12,0,14,19,8.2,medio,medio,alto
380,8,5,6,0,12,14,10,2,19,8.3,medio,medio,alto
381,7,3,7,14,4,7,15,27,3,8.1,alto,alto,alto
382,6,5,1,10,0,9,0,8,20,8.1,medio,medio,alto
383,6,3,1,2,6,17,1,23,20,6.8,alto,alto,alto
384,7,3,9,2,6,10,2,0,14,6.3,bajo,bajo,medio
385,9,2,5,11,3,12,10,8,9,9.2,bajo,bajo,alto
386,8,3,3,7,0,0,0,24,19,7.2,medio,medio,alto
387,7,4,12,18,5,5,6,16,7,8.5,medio,medio,alto
388,4,4,9,4,12,10,3,17,20,5.2,alto,alto,alto
389,9,4,7,16,10,15,11,5,0,9.9,bajo,bajo,medio
390,4,3,8,1,9,25,5,22,6,5.4,medio,alto,alto
391,7,4,3,2,5,2,3,29,2,6.3,medio,medio,alto
392,7,1,5,11,7,3,12,17,13,6.4,alto,alto,alto
393,6,4,8,7,0,12,15,13,13,6.9,alto,alto,alto
394,5,5,5,5,2,0,0,11,6,5.2,bajo,medio,medio
395,4,1,12,16,6,0,0,30,1,4.4,medio,medio,alto
396,2,6,10,9,0,15,5,16,18,5.0,alto,alto,alto
397,8,4,12,7,8,21,8,16,2,9.5,bajo,bajo,alto
398,7,4,15,15,6,15,10,0,18,9.0,medio,medio,alto
399,9,6,3,9,0,11,4,24,13,9.8,medio,medio,alto
400,5,4,2,7,2,7,11,25,7,5.9,alto,alto,alto
