id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
190,5.67,6,5,12,0,10,1,22,12
191,10.0,5,4,2,6,14,7,21,8
192,8.09,5,4,6,2,7,6,29,14
193,5.98,3,7,0,9,8,8,15,3
194,9.94,5,9,4,11,7,3,15,15
195,8.89,4,9,16,8,3,11,18,20
196,4.31,4,7,0,4,7,6,1,2
197,5.47,5,6,10,14,11,8,12,16
198,0.0,6,9,6,0,7,10,27,11
199,3.34,5,9,20,8,0,3,13,1
200,5.6,1,10,0,0,22,15,12,13
201,3.62,7,4,6,1,14,9,2,0
202,0.0,1,6,1,0,13,9,0,2
203,0.0,4,8,1,0,13,6,23,14
204,7.39,6,9,5,2,0,3,19,1
205,4.39,5,5,9,0,13,7,29,2
206,8.48,6,6,7,6,15,10,16,20
207,0.0,1,8,9,0,11,8,12,2
208,3.1,4,5,12,1,6,12,5,6
209,4.67,3,6,5,3,3,11,12,13
210,0.0,4,9,2,0,16,0,11,4
211,4.84,6,7,7,1,25,11,19,10
212,0.0,2,3,11,0,22,2,30,18
213,4.73,2,9,2,0,0,6,9,14
214,8.9,6,9,4,7,5,1,3,6
215,9.01,5,4,11,0,16,14,28,18
216,0.0,5,10,13,0,6,5,7,11
217,3.12,1,8,9,3,7,14,3,17
218,5.92,2,5,3,0,6,3,1,6
219,4.66,2,7,8,0,15,12,20,4
220,0.0,3,13,12,0,6,3,1,19
221,5.73,4,7,14,7,6,4,3,9
222,9.52,1,6,4,0,0,10,8,12
223,7.03,2,7,3,2,16,10,7,20
224,6.79,4,7,7,3,8,14,26,12
225,0.0,3,3,5,0,0,6,13,0
226,8.84,4,8,6,7,11,0,16,8
227,4.58,7,8,5,5,17,11,16,7
228,4.07,5,15,10,2,13,4,11,4
229,0.0,2,12,9,0,22,4,21,20
230,5.73,1,14,9,2,0,2,26,18
231,0.88,2,8,6,0,21,10,16,13
232,3.5,1,7,12,11,26,15,0,11
233,8.62,2,9,14,0,7,11,7,8
234,10.0,2,4,12,13,16,12,3,18
235,5.35,2,5,12,10,0,7,14,9
236,0.0,6,2,18,0,5,10,6,3
237,3.29,2,7,8,0,9,5,1,1
238,6.68,5,9,11,0,12,1,30,0
239,0.0,2,7,8,0,25,10,15,3
240,4.45,1,11,7,7,3,3,17,14
241,4.43,5,12,11,4,12,4,20,17
242,8.11,5,9,10,0,12,12,18,7
243,7.47,3,5,10,4,0,8,1,8
244,0.0,5,7,14,0,17,6,15,19
245,1.35,3,12,3,5,1,2,20,8
246,5.87,1,9,6,7,22,11,24,4
247,0.0,1,7,5,0,0,15,29,4
248,5.19,1,4,10,12,9,11,6,7
249,7.23,7,6,13,11,17,12,3,14
250,6.41,6,11,5,4,15,7,13,3
251,0.0,3,12,10,0,12,3,5,0
252,0.0,6,8,10,0,17,7,8,16
253,0.0,4,11,0,0,13,5,24,16
254,10.0,8,8,7,0,12,1,24,11
255,7.31,4,2,7,13,11,7,2,0
256,0.0,3,3,9,0,2,10,14,1
257,3.6,5,4,10,4,5,11,18,6
258,7.24,6,10,12,9,7,15,16,13
259,6.19,5,9,4,8,13,10,26,12
260,5.0,5,6,8,4,7,13,22,0
261,4.46,4,5,3,4,5,6,10,18
262,0.0,5,13,13,0,0,7,24,1
263,0.0,3,9,7,0,18,11,26,18
264,0.0,3,6,10,0,0,1,21,11
265,6.27,3,6,1,8,0,14,22,20
266,0.0,6,11,11,0,2,3,25,17
267,7.86,5,12,1,7,8,4,29,1
268,6.53,1,8,4,12,1,0,0,17
269,6.34,4,4,4,7,17,1,12,2
270,0.0,3,4,9,0,22,3,9,2
271,0.0,2,5,0,0,9,5,25,4
272,0.0,1,12,14,0,17,0,10,19
273,6.18,6,3,20,0,27,14,2,1
274,1.88,5,10,11,0,13,7,29,17
275,5.66,3,8,15,2,1,9,15,1
276,5.63,3,2,3,6,19,7,16,6
277,6.52,4,11,6,5,10,14,27,20
278,3.42,2,5,6,10,19,4,8,6
279,8.25,3,10,14,3,16,13,0,8
280,4.64,6,4,2,0,21,13,27,5
281,1.58,6,6,14,8,16,10,29,12
282,7.47,7,10,7,4,9,6,9,17
283,8.25,6,9,5,6,4,6,29,16
284,6.57,2,3,2,9,17,9,25,12
285,5.1,5,11,11,1,3,11,25,3
286,7.29,5,5,8,3,6,15,3,0
287,4.69,2,13,6,7,0,10,19,12
288,0.0,1,11,4,0,2,6,21,10
289,10.0,5,8,9,0,3,14,24,16
290,9.21,3,12,13,3,12,10,15,18
291,10.0,3,2,3,6,7,3,26,3
292,0.0,1,4,9,0,2,13,27,12
293,8.19,4,6,4,10,0,8,9,3
294,0.0,2,5,8,0,0,13,20,13
295,8.22,2,5,0,4,5,12,14,6
296,0.0,3,4,4,0,10,0,6,15
297,7.77,3,9,0,1,9,12,28,17
298,0.0,4,2,14,0,1,0,19,1
299,8.13,4,4,9,7,12,4,16,8
300,0.0,7,5,4,0,0,12,26,4
301,6.93,3,2,18,6,0,8,17,10
302,5.11,2,9,0,1,8,9,11,1
303,9.43,1,5,9,1,14,12,0,17
304,6.55,1,7,1,6,19,9,17,6
305,0.0,4,7,11,0,10,5,10,10
306,0.0,7,8,15,0,23,4,6,3
307,0.0,4,12,7,0,7,0,27,9
308,6.76,5,8,12,1,5,7,29,17
309,0.0,2,6,9,0,0,14,23,0
310,8.25,1,10,5,9,0,2,26,11
311,7.35,5,10,8,0,4,14,4,4
312,8.49,3,9,8,7,11,13,11,11
313,9.82,5,12,10,7,0,2,14,0
314,5.26,1,10,8,1,10,15,17,20
315,0.0,3,5,14,0,8,13,6,0
316,9.08,3,8,10,7,11,3,30,19
317,8.32,2,8,3,0,3,15,11,10
318,0.0,3,5,0,0,18,12,27,5
319,0.0,1,7,17,0,7,2,29,16
320,0.0,2,9,7,0,9,11,11,16
321,0.0,5,6,10,0,0,10,2,18
322,10.0,7,7,3,8,17,2,10,19
323,4.68,2,12,2,5,4,12,17,17
324,8.76,4,4,3,0,4,11,9,16
325,8.49,6,10,0,3,9,8,26,15
326,4.71,4,10,3,6,7,2,2,0
327,5.99,7,8,10,6,3,12,5,13
328,4.43,4,9,17,1,19,2,5,19
329,5.83,2,6,1,11,17,9,7,3
330,6.53,8,6,0,4,14,9,12,4
331,0.0,4,8,11,0,14,3,17,6
332,5.31,4,6,8,9,23,0,10,5
333,0.0,6,13,3,0,20,3,12,5
334,5.67,1,14,6,3,4,1,15,19
335,9.0,3,10,7,0,18,3,23,16
336,5.23,4,11,10,3,5,6,2,9
337,0.0,2,2,4,0,1,11,3,1
338,7.16,5,9,0,7,18,14,20,11
339,7.91,5,12,7,5,6,15,22,10
340,7.33,2,5,15,3,18,15,12,2
341,5.89,2,7,11,0,0,12,17,17
342,2.36,6,9,19,9,4,5,29,13
343,0.0,6,4,5,0,6,15,16,2
344,9.02,1,11,3,7,15,12,17,1
345,6.77,1,7,12,5,8,1,22,1
346,6.17,2,10,6,11,7,15,28,18
347,5.89,5,7,1,6,6,3,16,19
348,6.48,4,7,5,6,0,0,20,1
349,6.09,3,14,3,0,23,13,13,3
350,8.69,4,9,12,5,14,9,19,18
351,6.58,3,7,5,5,12,2,30,7
352,0.0,5,3,6,0,17,8,10,20
353,5.01,2,6,8,4,8,5,10,18
354,9.59,4,6,10,4,0,10,1,6
355,3.11,3,10,0,5,11,2,12,15
356,5.18,1,6,16,0,16,0,12,5
357,3.79,5,7,2,5,5,12,10,17
358,5.72,6,7,6,1,5,10,26,2
359,5.91,7,7,8,7,22,2,29,1
360,0.0,1,11,5,0,0,10,26,19
361,9.74,3,7,13,8,28,13,20,6
362,8.52,6,7,12,8,14,1,18,6
363,6.47,5,7,3,1,13,12,23,1
364,9.7,3,4,5,3,0,9,16,20
365,5.2,1,7,10,0,1,12,17,11
366,6.77,6,1,9,5,4,7,6,19
367,7.13,2,10,4,7,13,4,3,1
368,9.7,4,6,5,1,2,12,9,17
369,5.14,2,7,1,2,8,11,29,1
370,7.19,3,11,11,4,16,0,21,12
371,4.95,3,13,6,10,11,3,12,2
372,5.13,2,3,5,2,17,2,17,19
373,6.12,2,5,2,15,12,11,21,15
374,7.57,7,5,1,2,0,0,2,3
375,9.69,1,8,11,5,17,15,30,11
376,0.0,5,8,11,0,13,8,5,14
377,8.39,2,6,7,5,14,9,6,6
378,7.07,2,7,0,10,11,3,25,1
379,7.27,6,9,4,9,0,10,2,13
380,7.42,1,8,18,3,15,14,4,17
381,0.0,2,5,7,0,5,15,24,2
382,5.93,8,8,10,4,8,4,1,10
383,4.81,4,7,12,2,9,2,0,12
384,6.83,8,8,1,6,13,4,19,16
385,8.48,10,2,0,0,0,13,8,12
386,5.17,6,6,10,1,0,2,16,3
387,2.34,4,7,13,6,5,4,17,12
388,4.86,3,7,3,7,16,4,1,16
389,4.58,2,12,7,12,8,9,2,8
390,9.27,5,4,8,4,4,5,13,5
391,6.06,4,9,17,0,9,13,27,10
392,7.9,2,9,1,15,0,6,28,6
393,5.05,7,10,0,5,15,9,15,13
394,2.27,3,9,15,0,1,4,11,5
395,6.47,6,9,0,3,0,14,29,19
396,0.0,2,9,7,0,14,13,13,18
397,8.21,4,9,7,0,4,13,10,6
398,0.0,2,14,2,0,2,11,6,0
399,9.89,7,9,5,14,4,3,27,8
400,6.63,5,5,11,0,5,6,25,16
